chunk_id,title,case_no,section,category,page_content,source,priority,src_title
PREC_2000가단148507_000,임대차보증금 관련 판결 요약: 서울지법 2001 판결 (보증금 처리 규정),2000가단148507,서두,보증금_대항력,"""임대차보증금"" (판례, 2000가단148507)

임대차보증금

[서울지법 2001. 3. 7. 2000가단148507]",판례_2000가단148507.docx,9,판례
PREC_2000가단148507_001, - 판시사항,2000가단148507,판시사항,임차권_승계,"【판시사항】

주택임대차보호법상의 임차주택에 대한 임대인의 지위승계에 대하여 임차인이 이의를 함으로써 승계되는 임대차관계의 구속을 면할 수 있는지 여부(소극)",판례_2000가단148507.docx,9,판례
PREC_2000가단148507_002, - 판결요지,2000가단148507,판결요지,"임차권_승계, 분쟁해결, 보증금_대항력","【판결요지】

주거용건물의 임대차관계에서는 주택임대차보호법 제3조 제1항, 제2항에 의하여 임차주택의 양수인이 당연히 임대인의 지위를 승계한 것으로 보고, 양도인은 임차보증금반환채무를 면한다고 보아야 할 것이지 임차인의 선택에 따라서 임대인의 지위에 대한 승계 여부가 달라지거나 임차인이 이의를 함으로써 승계되는 임대차관계의 구속을 면할 수 있다고 볼 수는 없다.



【참조조문】

[1] 주택임대차보호법 제3조 제1항, 제2항



【참조판례】

대법원 1994. 3. 11. 선고 93다29648 판결(공1994상, 1175), 대법원 1995. 5. 23. 선고 93다47318 판결(공1995하, 2218), 대법원 1996. 2. 27. 선고 95다35616 판결(공1996상, 1094), 대법원 1998. 9. 2.자 98마100 결정(공1998하, 2498)",판례_2000가단148507.docx,9,판례
PREC_2000가단148507_003, - 전문,2000가단148507,전문,분쟁해결,"【전문】

【원 고】 원고 (소송대리인 홍익법무법인 담당변호사 임성빈)



【피 고】 피고 (소송대리인 변호사 윤용근)",판례_2000가단148507.docx,9,판례
PREC_2000가단148507_004, - 주문,2000가단148507,주문,"분쟁해결, 임대료_증감","【주 문】

 1. 원고의 청구를 기각한다.

 2. 소송비용은 원고의 부담으로 한다.",판례_2000가단148507.docx,9,판례
PREC_2000가단148507_005, - 청구취지,2000가단148507,청구취지,"분쟁해결, 임대료_증감","【청구취지】 피고는 원고에게 31,000,000원과 이에 대하여 이 사건 소장부본이 송달된 다음날부터 갚는 날까지 연 25%의 비율로 계산한 돈을 지급하라는 판결.",판례_2000가단148507.docx,9,판례
PREC_2000가단148507_006, - 이유_p1,2000가단148507,이유_p1,"임차권_승계, 보증금_대항력, 분쟁해결, 특약_유효성, 계약해지_명도","【이 유】 갑 제1, 2, 3호증의 각 기재에 변론의 전취지를 종합하면, 원고가 1997. 10. 7. 피고로부터 그 소유의 서울 종로구 (주소 생략) 지상 2층 다가구용 단독주택(이하, '이 사건 주택'이라 한다)의 일부를 임차보증금 31,000,000원, 임차기간 1997. 10. 30.부터 12개월로 임차하여 피고에게 위 임차보증금을 지급하고 주민등록 전입신고를 마친 다음 거주하는 사실을 인정할 수 있고 반증 없다.



 원고는 위 임차기간이 1998. 10. 30.로 만료하였음을 이유로 위 임차보증금의 반환을 청구함에 대하여, 피고는 위 임차보증금 반환의무는 1998. 10. 1. 이 사건 주택의 양수인에게 인수되고 피고는 그 반환의무를 면하였다고 항변하므로 살피건대, 을 제1호증, 갑 제3호증의 각 기재에 변론의 전취지를 종합하면, 위 주택에 관하여는 1998. 10. 1. 소외인에게 같은 해 9. 28. 매매를 원인으로 한 소유권이전등기가 마쳐지고, 이어 1999. 10. 22. 소외 주식회사 국민은행에 의한 임의경매(이 법원 99타경64842)의 기입등기가 마쳐진 사실을 인정할 수 있고 반증 없으므로, 위 임차보증금 반환의무는 주택임대차보호법 제3조 제1항, 제2항에 의하여 위 주택의 양수인으로서 임대인의 지위를 승계한 위 소외인에게 이전되어 양도인인 피고의 위 보증금반환채무는 소멸하였다고 할 것이므로 피고의 위 항변은 이유 있다.

 이에 대하여 원고는, 원고가 피고에 대하여 위 임차기간만료 3개월 전 구두로 위 임대차계약의 해지를 통보하였으므로 그 임대인의 지위가 양수인에게 승계된 것이 아니라고 주장하므로 살피건대, 앞서 본 바와 같은 임차기간의 약정이 있는 이상 임차인의 일방적 의사표시로 위 임차대차계약에 대한 해지의 효력이 발생할 수 없음은 물론이고, 갑 제4, 5, 6호증의 각 기재만으로는 원·피고 사이에 해지의 합의나 임대차관계종료의 합의가 있었음을 인정하기에 부족하며 달리 이를 인정할 아무런 증거가 없으므로, 위 주택에 대한 위 양도행위 이전에 위 임대차계약관계가 종료하여 임대인의 지위가 승계되지 아니하였다는 취지의 주장은 이유 없다.

 나아가 임차주택에 대한 임대인의 지위승계에 대하여 임차인이 이의를 함으로써 승계되는 임대차관계의 구속을 면할 수 있는지를 살피건대, 주택임대차보호법의 적용대상인 '주거용건물'이 아닌 상가건물 등의 임대차관계에서는 그러한 법리가 적용된다고 볼 것( 대법원 1998. 9. 2.자 98마100 결정 등 참조)이다. 그러나 주거용건물의 임대차관계에서는 주택임대차보호법 제3조 제1항, 제2항에 의하여 임차주택의 양수인이 당연히 임대인의 지위를 승계한 것으로 보고, 양도인은 임차보증금반환채무를 면한다고 보아야 할 것( 대법원 1994. 3. 11. 선고 93다29648 판결 등 참조)이지 임차인의 선택에 따라서 임대인의 지위에 대한 승계 여부가 달라지거나 임차인이 이의를 함으로써 승계되는 임대차관계의 구속을 면할 수 있다고 볼 수는 없다( 대법원 1996. 2. 27. 선고 95다35616 판결 등 참조)고 할 것이다. 다만, 임차인이 그 승계를 원하지 않는다면 미리 그러한 약정을 하거나(이는 주택임대차보호법 제10조에 따라서 임차인에게 불리한 약정으로서 그 효력이 없는지 여부가 판단될 수 있다) 승계 이전에 임대차관계를 종료하는 방법 등이 있을 수 있다(원고 대리인이 들고 있는 대법원 94다37646 판결은 임차기간중에 임차주택이 경매되는 경우에는 임차인의 해지권이 인정되고, 그 해지에 의하여 임대차관계가 종료되면 개정 전 주택임대차보호법 제3조의2 제1항 단서에 해당하지 아니하므로 우선변제를 청구할 수 있다는 것일 뿐이지 일반적으로 임차인이 승계를 원하지 아니할 때에는 승계되는 임대차관계의 구속을 면할 수 있다는 취지는 아니라고 할 것이다. 또한, 주택임대차보호법의 위와 같은 승계규정들은 임차주택이 최소한의 담보가 된다는 전제하에 임차인의 보호를 위하여 마련된 규정이나 현실에 있어서는 승계되지 아니하였던 편이 임차인에게 경제적으로 유리한 경우도 없지 아니할 것",판례_2000가단148507.docx,9,판례
PREC_2000가단148507_007, - 이유_p2,2000가단148507,이유_p2,"분쟁해결, 보증금_대항력, 특약_유효성, 임대료_증감","이나, 법규정은 자신의 권리확보를 위하여 최선을 다하는 합리적인 인간을 전제로 하는 것이고, 임차인의 보호를 위한다고 하여 임차인이 법률관계를 개별적·일방적으로 선택할 수 있게 할 수는 없을 것이다).

 원고는 다시, 피고와 위 소외인 사이에서는 실제 매매가 이루어진 것이 아니고 원고에 대한 위 임차보증금 반환채무를 면탈하기 위하여 명의를 이전한 것 뿐이라는 취지로 주장하나, 갑 제1 내지 6호증, 을 제1호증의 각 기재만으로는 피고와 위 소외인 사이의 위 매매계약이 통정허위표시이거나 무효임을 인정하기에 부족하고 달리 이를 인정할 아무런 증거가 없으므로 위 주장도 이유 없다.

 그렇다면 원고의 이 사건 청구는 이유 없어 이를 기각하고, 소송비용의 부담에 관하여는 민사소송법 제89조를 적용하여 주문과 같이 판결한다.



판사 신용석 





법제처                                                                         국가법령정보센터",판례_2000가단148507.docx,9,판례
PREC_2000다24184_000,"임대차보증금 반환 및 명도 분쟁 판결 요약: 대법원 2002 판결 (2000다24184, 24191)",2000다24184,서두,"보증금_대항력, 계약해지_명도","""임대차보증금·건물명도"" (판례, 2000다24184, 24191)

임대차보증금·건물명도

[대법원 2002. 3. 12. 2000다24184, 24191]","판례_2000다24184, 24191.docx",9,판례
PREC_2000다24184_001, - 판시사항,2000다24184,판시사항,보증금_대항력,"【판시사항】

[1] 가장 임대차의 주택임대차보호법상의 대항력 유무(소극)

[2] 사회통념상 독립한 건물이라고 볼 수 있는 미등기 건물의 건축주 명의변경과 소유권의 원시취득자(=원래의 건축주)","판례_2000다24184, 24191.docx",9,판례
