chunk_id,priority,category,article,title,source,src_title,page_content
민법(법률)(제20432호)(20260101)_000,4,['기타'],민법,민법,민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),민법
민법(법률)(제20432호)(20260101)_001,4,"['특약_유효성', '손해배상_책임']",제103조(반사회질서의 법률행위),사회적 규범이나 도덕에 어긋나는 내용을 포함한 법률 행위는 그 효력이 없다.,민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),선량한 풍속 기타 사회질서에 위반한 사항을 내용으로 하는 법률행위는 무효로 한다.
민법(법률)(제20432호)(20260101)_002,4,['특약_유효성'],제104조(불공정한 법률행위),상대방이 불리한 상황에 처해 있거나 판단력이 부족한 상태에서 이루어진 계약은 공정성이 크게 훼손되어 무효가 될 수 있다.,민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),"당사자의 궁박, 경솔 또는 무경험으로 인하여 현저하게 공정을 잃은 법률행위는 무효로 한다."
민법(법률)(제20432호)(20260101)_003,4,['기타'],제105조(임의규정),"법률행위를 할 때 당사자가 사회적 규범이나 선량한 풍속과 충돌하는 내용을 명시적으로 거부했다면, 그 거부 의사대로 처리된다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),"법률행위의 당사자가 법령 중의 선량한 풍속 기타 사회질서에 관계없는 규정과 다른 의사를 표시한 때에는 그 의사에 의한다.



제2편 물권



제1장 총칙"
민법(법률)(제20432호)(20260101)_004,4,['기타'],제186조(부동산물권변동의 효력),부동산의 소유권이나 권리 변경은 등기를 해야 법적으로 효력이 발생합니다.,민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),부동산에 관한 법률행위로 인한 물권의 득실변경은 등기하여야 그 효력이 생긴다.
민법(법률)(제20432호)(20260101)_005,4,"['분쟁해결', '권리_정보리스크', '임차권_승계']",제187조(등기를 요하지 아니하는 부동산물권취득),"법률에 따라 상속, 경매 등으로 부동산을 취득할 때 등기가 필수는 아니지만, 등기를 하지 않으면 해당 부동산을 자유롭게 처분할 수 없습니다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),"상속, 공용징수, 판결, 경매 기타 법률의 규정에 의한 부동산에 관한 물권의 취득은 등기를 요하지 아니한다. 그러나 등기를 하지 아니하면 이를 처분하지 못한다.



제3장 소유권



제9장 저당권"
민법(법률)(제20432호)(20260101)_006,4,"['권리_정보리스크', '보증금_대항력']",제356조(저당권의 내용),"저당권자는 부동산을 담보로 제공한 후, 채무가 이행되지 않을 경우 해당 부동산을 다른 채권자들보다 먼저 사용하여 채권을 회수할 권리가 있습니다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),저당권자는 채무자 또는 제삼자가 점유를 이전하지 아니하고 채무의 담보로 제공한 부동산에 대하여 다른 채권자보다 자기채권의 우선변제를 받을 권리가 있다.
민법(법률)(제20432호)(20260101)_007,4,['권리_정보리스크'],제357조(근저당),"부동산 담보대출(근저당)은 채무의 최대 금액만 정해지며, 채무가 확정될 때까지는 소멸이나 변경이 저당권에 영향을 주지 않습니다. 확정 시점에서는 그 최대 금액에 해당하는 이자도 함께 고려됩니다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),"①저당권은 그 담보할 채무의 최고액만을 정하고 채무의 확정을 장래에 보류하여 이를 설정할 수 있다. 이 경우에는 그 확정될 때까지의 채무의 소멸 또는 이전은 저당권에 영향을 미치지 아니한다.

②전항의 경우에는 채무의 이자는 최고액 중에 산입한 것으로 본다."
민법(법률)(제20432호)(20260101)_008,4,['권리_정보리스크'],제358조(저당권의 효력의 범위),저당권은 저당부동산과 그에 부합된 물건 및 관련 종물에 효력이 미친다. 하지만 특별한 법률 규정이나 당사자 간 합의가 있으면 예외가 될 수 있다.,민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),저당권의 효력은 저당부동산에 부합된 물건과 종물에 미친다. 그러나 법률에 특별한 규정 또는 설정행위에 다른 약정이 있으면 그러하지 아니하다.
민법(법률)(제20432호)(20260101)_009,4,"['권리_정보리스크', '손해배상_책임', '계약해지_명도']",제359조(과실에 대한 효력),"저당권은 압류된 부동산에서 발생한 수익에만 효력이 있으며, 제3자에게 소유권이나 지상권 등을 이전한 경우 압류 사실을 통지한 후에야 대항할 수 없다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),"저당권의 효력은 저당부동산에 대한 압류가 있은 후에 저당권설정자가 그 부동산으로부터 수취한 과실 또는 수취할 수 있는 과실에 미친다. 그러나 저당권자가 그 부동산에 대한 소유권, 지상권 또는 전세권을 취득한 제삼자에 대하여는 압류한 사실을 통지한 후가 아니면 이로써 대항하지 못한다."
