chunk_id,priority,category,article,title,source,src_title,page_content
전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102)_000,1,['권리_정보리스크'],전세사기피해자 지원 및 주거안정에 관한 특별법,전세사기피해자 지원 및 주거안정에 관한 특별법,전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102).docx,전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102),전세사기피해자 지원 및 주거안정에 관한 특별법
전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102)_001,1,"['권리_정보리스크', '분쟁해결']",제1조(목적),이 법은 전세사기 피해자들이 경매나 공매 과정에서 불리한 상황을 피하고 세금 부담을 줄일 수 있도록 특례를 제공하여 피해자 지원과 주거 안정을 목표로 합니다.,전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102).docx,전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102),이 법은 전세사기로 피해를 입은 임차인에게 경ㆍ공매 절차 및 조세 징수 등에 관한 특례를 부여함으로써 전세사기피해자를 지원하고 주거안정을 도모함을 목적으로 한다.
전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102)_002,1,"['권리_정보리스크', '보증금_대항력', '수선_원상회복', '행정절차']",제2조(정의),"이 법에서는 ""주택""을 주거 목적으로 사용되는 건물로 정의하고, 임대인과 관련된 범위를 대리인, 공인중개사, 임차인 모집자 등 다양한 형태로 확장하여 설명합니다. 또한, ""전세사기피해자""는 정부 지원을 받을 수 있는 특정 조건을 충족하는 임차인을 지칭하며, 그 범위는 이에 해당하는 사람들까지 포함됩니다.",전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102).docx,전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102),"이 법에서 사용하는 용어의 정의는 다음과 같다. <개정 2024. 9. 10.>

1. “주택”이란 「주택임대차보호법」 제2조에 따른 주거용 건물(공부상 주거용 건물이 아니라도 임대차계약 체결 당시 임대차목적물의 구조와 실질이 주거용 건물이고 임차인의 실제 용도가 주거용인 경우를 포함한다)을 말한다.

2. “임대인등”이란 임대인 또는 다음 각 목의 어느 하나에 해당하는 자를 말한다.

가. 임대인의 대리인, 그 밖에 임대인을 위하여 주택의 임대에 관하여 업무를 처리하는 자

나. 임대인의 의뢰를 받은 공인중개사(중개보조인을 포함한다)

다. 임대인을 위하여 임차인을 모집하는 자(그 피고용인을 포함한다)

라. 다수 임대인의 배후에 있는 동일인

마. 라목의 동일인이 지배하거나 경제적 이익을 공유하는 조직

바. 라목의 동일인이나 마목의 조직을 배후에 둔 다수의 임대인

3. “전세사기피해자”란 제3조의 요건을 모두 갖춘 자로서 제6조에 따른 전세사기피해지원위원회의 심의ㆍ의결을 거쳐 국토교통부장관이 결정한 임차인을 말한다.

4. “전세사기피해자등”이란 다음 각 목의 어느 하나에 해당하는 자를 말한다.

가. 전세사기피해자

나. 제3조제1항제1호ㆍ제3호 및 제4호의 요건을 모두 충족하는 자(같은 조 제2항 각 호의 어느 하나에 해당하는 경우는 제외한다)로서 제6조에 따른 전세사기피해지원위원회의 심의ㆍ의결을 거쳐 국토교통부장관이 결정한 임차인

다. 제3조제1항제2호 및 제4호의 요건을 모두 충족하고 임차인으로서 임차주택(적법한 임대권한을 가지지 아니한 자와 임대차계약이 체결된 주택을 포함한다)을 인도(과거에 인도받았거나 인도가 불가능하였던 경우를 포함한다)받았으며, 「주민등록법」 제16조에 따라 전입신고를 하고 그 임대차계약증서상의 확정일자를 받은 자(제3조제2항 각 호의 어느 하나에 해당하는 경우는 제외한다)로서 제6조에 따른 전세사기피해지원위원회의 심의ㆍ의결을 거쳐 국토교통부장관이 결정한 임차인

5. “전세사기피해주택”이란 전세사기피해자가 임차인인 임대차계약의 목적물인 주택(「주택임대차보호법」 제3조의3에 따라 임대차가 끝난 후 임차권등기를 마친 주택도 포함한다)을 말한다.

6. “특정건축물”이란 다음 각 목의 어느 하나에 해당하는 건축물을 말한다.

가. 「건축법」 제11조 또는 제14조에 따라 건축허가를 받거나 건축신고를 하여야 하는 건축물을 건축허가를 받지 아니하거나 건축신고를 하지 아니하고 건축하거나 대수선한 건축물

나. 「건축법」 제11조 또는 제14조에 따라 건축허가를 받거나 건축신고를 하고 건축하거나 대수선한 건축물로서 같은 법 제22조에 따른 사용승인을 받지 못한 건축물

다. 「건축법」 제19조에 따른 용도변경 허가를 받지 아니하거나 신고를 하지 아니한 건축물"
전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102)_003,1,"['보증금_대항력', '권리_정보리스크', '분쟁해결', '임대료_증감', '행정절차']",제3조(전세사기피해자의 요건),"전세사기 피해자가 되려면 주택에 인도하고 주민등록을 완료한 후 확정일자를 받아야 하며, 보증금이 5억원 이하여야 합니다. 또한 임대인의 파산이나 경매 등으로 보증금 반환이 불가능해진 상황이 발생하거나 예상되어야 합니다.",전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102).docx,전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102),"① 제14조에 따라 전세사기피해자로 결정받고자 하는 임차인(자연인에 한정한다. 이하 같다)은 다음 각 호의 요건을 모두 갖추어야 한다. 다만, 경매 또는 공매 절차가 완료된 임차인의 경우에는 제1호 및 제3호의 요건은 제외한다. <개정 2024. 9. 10.>

1. 「주택임대차보호법」 제3조에 따라 주택의 인도와 주민등록을 마치고(이 경우 전입신고를 한 때 주민등록을 한 것으로 본다) 같은 법 제3조의2제2항에 따라 임대차계약증서상의 확정일자(이하 “확정일자”라 한다)를 갖출 것(「주택임대차보호법」 제3조의3에 따른 임차권등기를 마친 경우 또는 「민법」 제303조에 따른 전세권이 설정된 경우도 포함한다)

2. 임차인의 임차보증금이 5억원 이하일 것. 다만, 임차보증금의 상한액은 제6조에 따른 전세사기피해지원위원회가 시ㆍ도별 여건 및 피해자의 여건 등을 고려하여 2억원의 범위에서 상향 조정할 수 있다.

3. 임대인의 파산 또는 회생절차 개시, 임차주택의 경매 또는 공매절차의 개시(국세 또는 지방세의 체납으로 인하여 임차주택이 압류된 경우도 포함한다), 임차인의 집행권원 확보 등에 해당하여 2인 이상의 임차인에게 임차보증금반환채권의 변제를 받지 못하는 피해가 발생하였거나 발생할 것이 예상될 것

4. 임대인등에 대한 수사 개시, 임대인등의 기망, 임차보증금을 반환할 능력이 없는 자에 대한 임차주택의 양도 또는 임차보증금을 반환할 능력 없이 다수의 주택 취득ㆍ임대 등 임대인이 임차보증금반환채무를 이행하지 아니할 의도가 있었다고 의심할 만한 상당한 이유가 있을 것

② 다음 각 호의 어느 하나에 해당하는 경우는 제1항의 적용대상에서 제외한다.

1. 임차인이 임차보증금 반환을 위한 보증 또는 보험에 가입하였거나 임대인이 임차보증금 반환을 위한 보증에 가입하여 임차인에게 보증금의 전액 반환이 가능한 경우

2. 임차인의 보증금 전액이 최우선변제가 가능한 「주택임대차보호법」 제8조제1항에 따른 보증금 중 일정액에 해당하는 경우

3. 임차인이 「주택임대차보호법」에 따라 대항력 또는 우선변제권 행사를 통하여 보증금 전액을 자력으로 회수할 수 있다고 판단되는 경우"
전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102)_004,1,"['권리_정보리스크', '분쟁해결']",제6조(전세사기피해지원위원회),"전세사기 피해자 지원을 위해 국토교통부에 전세사기피해지원위원회가 설치되어 피해자 결정, 경매 관련 조치 협조 요청, 실태조사 등을 심의하고 지원 정책을 논의합니다.",전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102).docx,전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102),"① 제14조에 따른 전세사기피해자등 결정에 관한 심의와 그 밖에 전세사기피해지원에 관한 중요 사항을 심의하기 위하여 국토교통부에 전세사기피해지원위원회(이하 “위원회”라 한다)를 둔다.

② 위원회는 다음 각 호의 사항을 심의ㆍ의결한다.<개정 2024. 9. 10.>

1. 제14조 및 제15조에 따른 전세사기피해자등 결정

1의2. 제15조의2에 따른 전세사기피해자등 결정의 취소 또는 철회

2. 제17조에 따른 경매의 유예ㆍ정지, 제18조 및 제19조에 따른 압류주택의 매각 유예ㆍ정지 등에 관한 협조 요청

3. 제4조의2에 따른 전세사기의 유형ㆍ피해규모 등에 관한 실태조사

4. 전세사기피해지원 정책에 관한 사항

5. 그 밖에 전세사기피해지원에 관한 중요한 사항으로서 국토교통부장관이 회의에 부치는 사항"
전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102)_005,1,['권리_정보리스크'],제12조(임차인의 신청),전세사기피해자로 인정받고 싶은 임차인은 국토교통부에 직접 신청해야 합니다. 신청 방법과 절차는 국토교통부의 세부 지침에 따라 정해집니다.,전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102).docx,전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102),"① 제14조에 따른 전세사기피해자등 결정을 받으려는 임차인은 국토교통부장관에게 신청하여야 한다.

② 그 밖에 전세사기피해자등 결정의 신청 방법 및 절차 등에 필요한 사항은 국토교통부령으로 정한다."
전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102)_006,1,"['보증금_대항력', '권리_정보리스크', '계약해지_명도', '행정절차', '관리비_투명성']",제13조(피해사실의 조사),"전세사기 피해자 지원을 위해 국토교통부 장관은 전세주택의 가격, 권리 상태, 임대인의 채무 등 필요한 정보를 조사하고, 이를 위해 관련자들의 진술과 자료 제출을 요구할 수 있습니다. 또한, 법원, 한국자산관리공사, 지방자치단체 등 관련 기관들로부터 주택 매각 현황과 임대인의 부동산 소유 정보 등을 제공받을 수 있습니다.",전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102).docx,전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102),"① 국토교통부장관은 제12조제1항에 따른 신청이 있는 경우 제14조에 따른 전세사기피해자등 결정 등을 위하여 임차주택의 가격 및 실태, 임차주택의 권리관계, 임대인의 채무 등 필요한 정보나 자료를 조사할 수 있다.

② 국토교통부장관은 제1항의 조사를 수행하는 경우 다음 각 호의 어느 하나에 해당하는 조치를 할 수 있다.

1. 임차인, 임대인등, 이해관계인 및 참고인에 대한 진술서 제출 요구

2. 임차인, 임대인등, 이해관계인 및 참고인에 대한 관련 자료 제출 요구

③ 국토교통부장관은 제1항에 따른 조사를 위하여 필요한 경우에는 다음 각 호의 구분에 따라 국가기관, 공공기관, 금융기관 등에 대하여 자료 또는 정보의 제공을 요청할 수 있다. 이 경우 요청을 받은 기관의 장은 정당한 사유가 없으면 이에 따라야 한다.<개정 2024. 9. 10.>

1. 주택 매각 절차의 현황, 권리관계 및 배당액: 법원, 「한국자산관리공사 설립 등에 관한 법률」 제6조에 따라 설립된 한국자산관리공사(이하 “한국자산관리공사”라 한다)

2. 임대인이 보유한 주택 등의 소유 현황: 법원, 국토교통부(제29조제1항에 따라 국토교통부장관의 권한을 위임받은 특별시장ㆍ광역시장ㆍ특별자치시장ㆍ도지사ㆍ특별자치도지사가 자료 또는 정보의 제공을 요청하는 경우에 한정한다. 이하 이 항에서 같다)

3. 임대인이 임대한 주택에 대한 「주택임대차보호법」 제3조의6제3항 및 제6항에 따른 확정일자 정보: 국토교통부

4. 임대인등의 「부동산 거래신고 등에 관한 법률」 제3조 및 제3조의2에 따른 부동산 거래, 해제등 신고 내역: 국토교통부

5. 「부동산 거래신고 등에 관한 법률」 제6조의2 및 제6조의3에 따른 주택 임대차계약의 신고 내역, 변경 및 해제 신고 내역: 국토교통부

6. 임대인의 미지급 임금 등의 사항: 「산업재해보상보험법」에 따른 근로복지공단

7. 임대인에게 부과되거나 납부의무가 발생한 국세 및 지방세의 부과ㆍ징수ㆍ납부에 관한 사항: 국세청, 지방자치단체, 행정안전부

8. 임대인의 산업재해보상보험료, 고용보험료, 국민연금보험료, 국민건강보험료 등의 부과ㆍ징수ㆍ납부에 관한 사항: 「산업재해보상보험법」에 따른 근로복지공단, 「국민연금법」에 따른 국민연금공단, 「국민건강보험법」에 따른 국민건강보험공단

9. 금융기관 등의 보전처분, 압류, 저당권 등 담보권의 설정 관련 권리관계: 「금융산업의 구조개선에 관한 법률」에 따른 금융기관, 「예금자보호법」에 따른 부보금융회사 및 예금보험공사, 「한국자산관리공사 설립 등에 관한 법률」에 따른 금융회사등 및 한국자산관리공사, 「대부업 등의 등록 및 금융이용자 보호에 관한 법률」에 따른 대부업자ㆍ대부중개업자, 「신용정보의 이용 및 보호에 관한 법률」 제25조에 따른 신용정보집중기관 및 그 밖의 대통령령으로 정하는 법률에 따라 금융업무 등을 하는 기관

10. 임대인등에 대한 수사 개시 여부, 처분 결과 및 피해자 현황: 검찰청, 경찰청

11. 임차인 및 임대인의 전세보증금반환보증 등 가입 여부: 「주택도시기금법」 제16조에 따른 주택도시보증공사(이하 “주택도시보증공사”라 한다), 「한국주택금융공사법」에 따른 한국주택금융공사, 서울보증보험

12. 「민간임대주택에 관한 특별법」 제60조에 따른 임대주택 정보에 관한 사항: 국토교통부

13. 그 밖에 임차인의 임차보증금 피해조사를 위하여 필요한 국토교통부령으로 정하는 자료 및 정보: 관련 국가기관, 공공기관, 금융기관 등

④ 제3항에 따라 제공되는 자료 또는 정보에 대하여는 사용료와 수수료 등을 면제한다.

⑤ 국토교통부장관은 제12조제1항에 따른 신청을 받은 날부터 30일 이내에 제1항에 따른 조사를 마쳐야 한다.

⑥ 그 밖에 피해사실의 조사 방법 및 절차 등에 필요한 사항은 국토교통부령으로 정한다."
전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102)_007,1,"['권리_정보리스크', '분쟁해결']",제14조(전세사기피해자등 결정),"전세사기 피해자를 결정하기 위해 국토교통부 장관은 조사 결과와 필요 자료를 위원회에 제출하고, 위원회는 신청 요건을 검토하여 결정을 내립니다. 결정은 최대 30일 이내에 이루어져야 하며, 부득이한 경우 15일 연장 가능합니다. 장관은 최종 결정을 내리며, 조사 과정에서 피해자 여부를 판단할 수 있는 권한도 가지고 있습니다.",전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102).docx,전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102),"① 국토교통부장관은 제13조제1항에 따른 조사를 마치면 다음 각 호의 자료를 첨부하여 위원회에 심의를 요청하여야 한다.

1. 제13조에 따른 피해사실의 조사 결과

2. 전세사기피해자등 결정 여부에 대한 검토의견

3. 그 밖에 위원회의 심의에 필요한 자료

② 위원회는 신청인이 제3조의 요건 등을 충족하였는지 판단하여 전세사기피해자등 결정안을 심의ㆍ의결하여야 한다.

③ 위원회는 안건이 상정된 날부터 30일 이내에 제2항에 따른 심의ㆍ의결을 마쳐야 한다. 다만, 이 기간 내에 심의를 마칠 수 없는 부득이한 사유가 있는 경우에는 15일 이내의 범위에서 한 차례만 그 기간을 연장할 수 있다.

④ 국토교통부장관은 위원회의 심의를 위하여 필요하다고 인정하는 경우 조사를 추가로 실시할 수 있다. 추가 조사에 관하여는 제13조제1항부터 제4항까지 및 같은 조 제6항을 준용한다.

⑤ 국토교통부장관은 위원회의 심의ㆍ의결에 따라 전세사기피해자등 결정을 하여야 한다. 다만, 국토교통부장관은 제13조에 따른 피해사실의 조사 또는 제4항에 따른 추가 조사(제15조제3항에서 준용하는 경우를 포함한다) 과정에서 제3조제2항제1호 또는 제2호에 해당하는 경우에는 위원회의 심의ㆍ의결을 거치지 아니하고 전세사기피해자등에 해당하지 아니함을 결정할 수 있으며, 이 경우 결정 결과를 다음 위원회의 전체회의에 보고하여야 한다.<개정 2024. 9. 10.>

⑥ 국토교통부장관은 결정문 정본을 국토교통부령으로 정하는 바에 따라 신청인에게 송달하여야 한다.

⑦ 국토교통부장관은 전세사기피해자등이 동의한 경우 법원행정처장, 관계 중앙행정기관의 장, 지방자치단체의 장, 공공기관의 장 등 피해지원과 관련된 기관에 전세사기피해자등의 정보를 제공할 수 있다.

⑧ 국토교통부장관은 결정의 실효성을 확보하기 위하여 필요하다고 인정하는 경우에는 위원회에 제6조제2항제2호의 심의를 요청할 수 있다.

⑨ 그 밖에 전세사기피해자등 결정의 방법 및 절차 등에 필요한 사항은 국토교통부령으로 정한다."
전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102)_008,1,"['분쟁해결', '권리_정보리스크']",제14조의2(전세사기피해자등 지원의 신청기간),"전세사기 피해자는 결정된 날로부터 최대 3년 이내에 지원을 신청할 수 있으며, 경매나 공매 등 불가피한 상황에서는 절차 완료 후 1년 이내에 신청 가능하다.",전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102).docx,전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102),"제4장에 따른 전세사기피해자등 지원의 신청기간은 제14조 또는 제15조에 따라 전세사기피해자등으로 결정된 날부터 3년 이내로 한다. 다만, 경매 또는 공매 절차의 진행 등 부득이한 사유로 그 기간 내에 신청할 수 없는 때에는 경매 또는 공매 절차가 완료된 날부터 1년 이내로 한다.

[본조신설 2024. 9. 10.]"
전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102)_009,1,"['권리_정보리스크', '분쟁해결']",제15조(이의신청),전세사기 피해자로 결정된 사람은 결정 통지를 받은 후 30일 이내에 국토교통부에 이의를 제기할 수 있습니다. 이의신청 후 국토교통부는 20일 이내에 재심의를 요청하고 그 결과에 따라 최종 결정을 내립니다.,전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102).docx,전세사기피해자 지원 및 주거안정에 관한 특별법(법률)(제21065호)(20260102),"① 제14조에 따른 전세사기피해자등 결정에 관하여 이의가 있는 신청인은 결정을 송달받은 날부터 30일 이내에 국토교통부장관에게 이의를 신청할 수 있다.

② 국토교통부장관은 제1항에 따른 이의신청을 받은 날부터 20일 이내에 결정하여야 한다. 이 경우 국토교통부장관은 위원회에 재심의를 요청하고, 위원회가 재심의하여 의결한 전세사기피해자등 결정안에 따라 전세사기피해자등 결정을 하여야 한다.

③ 제2항에 따른 재심의에 관하여는 제14조제2항ㆍ제4항 및 제6항부터 제9항까지를 준용한다.

④ 제1항부터 제3항까지에서 규정한 사항 외에 이의신청에 관한 사항은 「행정기본법」 제36조에 따른다."
