chunk_id,priority,category,article,title,source,src_title,page_content
주택임대차보호법(법률)(제21065호)(20260102)_000,1,['기타'],주택임대차보호법,주택임대차보호법,주택임대차보호법(법률)(제21065호)(20260102).docx,주택임대차보호법(법률)(제21065호)(20260102),주택임대차보호법
주택임대차보호법(법률)(제21065호)(20260102)_001,1,['기타'],제1조(목적),이 법은 주거용 건물 임대에 대한 특별한 규정을 마련하여 국민의 안정적인 주거 환경을 보장하는 것을 목표로 합니다.,주택임대차보호법(법률)(제21065호)(20260102).docx,주택임대차보호법(법률)(제21065호)(20260102),"이 법은 주거용 건물의 임대차(賃貸借)에 관하여 「민법」에 대한 특례를 규정함으로써 국민 주거생활의 안정을 보장함을 목적으로 한다.

[전문개정 2008. 3. 21.]"
주택임대차보호법(법률)(제21065호)(20260102)_002,1,['기타'],제2조(적용 범위),"이 법은 주택의 전체 또는 일부 임대차 계약에 적용되며, 주택 일부가 주거 외 용도로 사용되더라도 해당 계약에 포함된다.",주택임대차보호법(법률)(제21065호)(20260102).docx,주택임대차보호법(법률)(제21065호)(20260102),"이 법은 주거용 건물(이하 “주택”이라 한다)의 전부 또는 일부의 임대차에 관하여 적용한다. 그 임차주택(賃借住宅)의 일부가 주거 외의 목적으로 사용되는 경우에도 또한 같다.

[전문개정 2008. 3. 21.]"
주택임대차보호법(법률)(제21065호)(20260102)_003,1,"['보증금_대항력', '임차권_승계', '분쟁해결']",제3조(대항력 등),임대차 계약은 등기 없이도 임차인이 주택을 인도하고 주민등록을 완료하면 즉시 효력이 발생합니다. 특히 저소득층이나 중소기업 직원이 주택을 임차할 때는 해당 조건 하에 제삼자에게도 대항력을 가지게 됩니다.,주택임대차보호법(법률)(제21065호)(20260102).docx,주택임대차보호법(법률)(제21065호)(20260102),"① 임대차는 그 등기(登記)가 없는 경우에도 임차인(賃借人)이 주택의 인도(引渡)와 주민등록을 마친 때에는 그 다음 날부터 제삼자에 대하여 효력이 생긴다. 이 경우 전입신고를 한 때에 주민등록이 된 것으로 본다.

② 주택도시기금을 재원으로 하여 저소득층 무주택자에게 주거생활 안정을 목적으로 전세임대주택을 지원하는 법인이 주택을 임차한 후 지방자치단체의 장 또는 그 법인이 선정한 입주자가 그 주택을 인도받고 주민등록을 마쳤을 때에는 제1항을 준용한다. 이 경우 대항력이 인정되는 법인은 대통령령으로 정한다.<개정 2015. 1. 6.>

③ 「중소기업기본법」 제2조에 따른 중소기업에 해당하는 법인이 소속 직원의 주거용으로 주택을 임차한 후 그 법인이 선정한 직원이 해당 주택을 인도받고 주민등록을 마쳤을 때에는 제1항을 준용한다. 임대차가 끝나기 전에 그 직원이 변경된 경우에는 그 법인이 선정한 새로운 직원이 주택을 인도받고 주민등록을 마친 다음 날부터 제삼자에 대하여 효력이 생긴다.<신설 2013. 8. 13.>

④ 임차주택의 양수인(讓受人)(그 밖에 임대할 권리를 승계한 자를 포함한다)은 임대인(賃貸人)의 지위를 승계한 것으로 본다.<개정 2013. 8. 13.>

⑤ 이 법에 따라 임대차의 목적이 된 주택이 매매나 경매의 목적물이 된 경우에는 「민법」 제575조제1항ㆍ제3항 및 같은 법 제578조를 준용한다.<개정 2013. 8. 13.>

⑥ 제5항의 경우에는 동시이행의 항변권(抗辯權)에 관한 「민법」 제536조를 준용한다.<개정 2013. 8. 13.>

[전문개정 2008. 3. 21.]"
주택임대차보호법(법률)(제21065호)(20260102)_004,1,"['보증금_대항력', '분쟁해결', '임차권_승계', '권리_정보리스크', '행정절차']",제3조의2(보증금의 회수),"임대차 계약을 체결한 임차인은 보증금 반환 청구 소송이 확정되거나 경매 등으로 보증금을 회수할 수 있으며, 주택 인도를 하지 않으면 보증금 회수가 불가능하다. 또한, 임차인은 우선변제권을 주장할 수 있고 이의 신청 시 관련 절차를 통해 권리 보호를 받을 수 있다.",주택임대차보호법(법률)(제21065호)(20260102).docx,주택임대차보호법(법률)(제21065호)(20260102),"① 임차인(제3조제2항 및 제3항의 법인을 포함한다. 이하 같다)이 임차주택에 대하여 보증금반환청구소송의 확정판결이나 그 밖에 이에 준하는 집행권원(執行權原)에 따라서 경매를 신청하는 경우에는 집행개시(執行開始)요건에 관한 「민사집행법」 제41조에도 불구하고 반대의무(反對義務)의 이행이나 이행의 제공을 집행개시의 요건으로 하지 아니한다. <개정 2013. 8. 13.>

② 제3조제1항ㆍ제2항 또는 제3항의 대항요건(對抗要件)과 임대차계약증서(제3조제2항 및 제3항의 경우에는 법인과 임대인 사이의 임대차계약증서를 말한다)상의 확정일자(確定日字)를 갖춘 임차인은 「민사집행법」에 따른 경매 또는 「국세징수법」에 따른 공매(公賣)를 할 때에 임차주택(대지를 포함한다)의 환가대금(換價代金)에서 후순위권리자(後順位權利者)나 그 밖의 채권자보다 우선하여 보증금을 변제(辨濟)받을 권리가 있다.<개정 2013. 8. 13.>

③ 임차인은 임차주택을 양수인에게 인도하지 아니하면 제2항에 따른 보증금을 받을 수 없다.

④ 제2항 또는 제7항에 따른 우선변제의 순위와 보증금에 대하여 이의가 있는 이해관계인은 경매법원이나 체납처분청에 이의를 신청할 수 있다.<개정 2013. 8. 13.>

⑤ 제4항에 따라 경매법원에 이의를 신청하는 경우에는 「민사집행법」 제152조부터 제161조까지의 규정을 준용한다.

⑥ 제4항에 따라 이의신청을 받은 체납처분청은 이해관계인이 이의신청일부터 7일 이내에 임차인 또는 제7항에 따라 우선변제권을 승계한 금융기관 등을 상대로 소(訴)를 제기한 것을 증명하면 해당 소송이 끝날 때까지 이의가 신청된 범위에서 임차인 또는 제7항에 따라 우선변제권을 승계한 금융기관 등에 대한 보증금의 변제를 유보(留保)하고 남은 금액을 배분하여야 한다. 이 경우 유보된 보증금은 소송의 결과에 따라 배분한다.<개정 2013. 8. 13.>

⑦ 다음 각 호의 금융기관 등이 제2항, 제3조의3제5항, 제3조의4제1항에 따른 우선변제권을 취득한 임차인의 보증금반환채권을 계약으로 양수한 경우에는 양수한 금액의 범위에서 우선변제권을 승계한다.<신설 2013. 8. 13., 2015. 1. 6., 2016. 5. 29.>

1. 「은행법」에 따른 은행

2. 「중소기업은행법」에 따른 중소기업은행

3. 「한국산업은행법」에 따른 한국산업은행

4. 「농업협동조합법」에 따른 농협은행

5. 「수산업협동조합법」에 따른 수협은행

6. 「우체국예금ㆍ보험에 관한 법률」에 따른 체신관서

7. 「한국주택금융공사법」에 따른 한국주택금융공사

8. 「보험업법」 제4조제1항제2호라목의 보증보험을 보험종목으로 허가받은 보험회사

9. 「주택도시기금법」에 따른 주택도시보증공사

10. 그 밖에 제1호부터 제9호까지에 준하는 것으로서 대통령령으로 정하는 기관

⑧ 제7항에 따라 우선변제권을 승계한 금융기관 등(이하 “금융기관등”이라 한다)은 다음 각 호의 어느 하나에 해당하는 경우에는 우선변제권을 행사할 수 없다.<신설 2013. 8. 13.>

1. 임차인이 제3조제1항ㆍ제2항 또는 제3항의 대항요건을 상실한 경우

2. 제3조의3제5항에 따른 임차권등기가 말소된 경우

3. 「민법」 제621조에 따른 임대차등기가 말소된 경우

⑨ 금융기관등은 우선변제권을 행사하기 위하여 임차인을 대리하거나 대위하여 임대차를 해지할 수 없다.<신설 2013. 8. 13.>

[전문개정 2008. 3. 21.]"
주택임대차보호법(법률)(제21065호)(20260102)_005,1,"['보증금_대항력', '권리_정보리스크']",제3조의3(임차권등기명령),임대차 계약이 끝난 후 보증금을 돌려받지 못한 임차인은 해당 주택 소재지 법원에 임차권 등기 명령을 신청할 수 있습니다. 신청 시 임대차 사실과 보증금 미반환 사유를 명확히 소명해야 합니다.,주택임대차보호법(법률)(제21065호)(20260102).docx,주택임대차보호법(법률)(제21065호)(20260102),"① 임대차가 끝난 후 보증금이 반환되지 아니한 경우 임차인은 임차주택의 소재지를 관할하는 지방법원ㆍ지방법원지원 또는 시ㆍ군 법원에 임차권등기명령을 신청할 수 있다. <개정 2013. 8. 13.>

② 임차권등기명령의 신청서에는 다음 각 호의 사항을 적어야 하며, 신청의 이유와 임차권등기의 원인이 된 사실을 소명(疎明)하여야 한다.<개정 2013. 8. 13.>

1. 신청의 취지 및 이유

2. 임대차의 목적인 주택(임대차의 목적이 주택의 일부분인 경우에는 해당 부분의 도면을 첨부한다)

3. 임차권등기의 원인이 된 사실(임차인이 제3조제1항ㆍ제2항 또는 제3항에 따른 대항력을 취득하였거나 제3조의2제2항에 따른 우선변제권을 취득한 경우에는 그 사실)

4. 그 밖에 대법원규칙으로 정하는 사항

③ 다음 각 호의 사항 등에 관하여는 「민사집행법」 제280조제1항, 제281조, 제283조, 제285조, 제286조, 제288조제1항, 같은 조 제2항 본문, 제289조, 제290조제2항 중 제288조제1항에 대한 부분, 제291조, 제292조제3항 및 제293조를 준용한다. 이 경우 “가압류”는 “임차권등기”로, “채권자”는 “임차인”으로, “채무자”는 “임대인”으로 본다.<개정 2023. 4. 18.>

1. 임차권등기명령의 신청에 대한 재판

2. 임차권등기명령의 결정에 대한 임대인의 이의신청 및 그에 대한 재판

3. 임차권등기명령의 취소신청 및 그에 대한 재판

4. 임차권등기명령의 집행

④ 임차권등기명령의 신청을 기각(棄却)하는 결정에 대하여 임차인은 항고(抗告)할 수 있다.

⑤ 임차인은 임차권등기명령의 집행에 따른 임차권등기를 마치면 제3조제1항ㆍ제2항 또는 제3항에 따른 대항력과 제3조의2제2항에 따른 우선변제권을 취득한다. 다만, 임차인이 임차권등기 이전에 이미 대항력이나 우선변제권을 취득한 경우에는 그 대항력이나 우선변제권은 그대로 유지되며, 임차권등기 이후에는 제3조제1항ㆍ제2항 또는 제3항의 대항요건을 상실하더라도 이미 취득한 대항력이나 우선변제권을 상실하지 아니한다.<개정 2013. 8. 13.>

⑥ 임차권등기명령의 집행에 따른 임차권등기가 끝난 주택(임대차의 목적이 주택의 일부분인 경우에는 해당 부분으로 한정한다)을 그 이후에 임차한 임차인은 제8조에 따른 우선변제를 받을 권리가 없다.

⑦ 임차권등기의 촉탁(囑託), 등기관의 임차권등기 기입(記入) 등 임차권등기명령을 시행하는 데에 필요한 사항은 대법원규칙으로 정한다.<개정 2011. 4. 12.>

⑧ 임차인은 제1항에 따른 임차권등기명령의 신청과 그에 따른 임차권등기와 관련하여 든 비용을 임대인에게 청구할 수 있다.

⑨ 금융기관등은 임차인을 대위하여 제1항의 임차권등기명령을 신청할 수 있다. 이 경우 제3항ㆍ제4항 및 제8항의 “임차인”은 “금융기관등”으로 본다.<신설 2013. 8. 13.>

[전문개정 2008. 3. 21.]"
주택임대차보호법(법률)(제21065호)(20260102)_006,1,"['보증금_대항력', '행정절차']",제3조의4(「민법」에 따른 주택임대차등기의 효력 등),"임대차 계약 후 등기를 신청할 때, 임차인은 주민등록 완료일과 주택 점유 시작일, 그리고 확정일자를 받은 날짜를 포함한 서류를 첨부해야 합니다. 이를 통해 임차인은 법적으로 보호받을 수 있는 대항력과 우선변제권을 확보할 수 있습니다.",주택임대차보호법(법률)(제21065호)(20260102).docx,주택임대차보호법(법률)(제21065호)(20260102),"① 「민법」 제621조에 따른 주택임대차등기의 효력에 관하여는 제3조의3제5항 및 제6항을 준용한다.

② 임차인이 대항력이나 우선변제권을 갖추고 「민법」 제621조제1항에 따라 임대인의 협력을 얻어 임대차등기를 신청하는 경우에는 신청서에 「부동산등기법」 제74조제1호부터 제6호까지의 사항 외에 다음 각 호의 사항을 적어야 하며, 이를 증명할 수 있는 서면(임대차의 목적이 주택의 일부분인 경우에는 해당 부분의 도면을 포함한다)을 첨부하여야 한다.<개정 2011. 4. 12., 2020. 2. 4.>

1. 주민등록을 마친 날

2. 임차주택을 점유(占有)한 날

3. 임대차계약증서상의 확정일자를 받은 날

[전문개정 2008. 3. 21.]"
주택임대차보호법(법률)(제21065호)(20260102)_007,1,"['보증금_대항력', '분쟁해결']",제3조의5(경매에 의한 임차권의 소멸),"임차인의 권리는 주택이 경매로 낙찰될 경우 소멸하지만, 보증금이 전액 변제되지 않은 상태에서는 여전히 효력이 유지된다.",주택임대차보호법(법률)(제21065호)(20260102).docx,주택임대차보호법(법률)(제21065호)(20260102),"임차권은 임차주택에 대하여 「민사집행법」에 따른 경매가 행하여진 경우에는 그 임차주택의 경락(競落)에 따라 소멸한다. 다만, 보증금이 모두 변제되지 아니한, 대항력이 있는 임차권은 그러하지 아니하다.

[전문개정 2008. 3. 21.]"
주택임대차보호법(법률)(제21065호)(20260102)_008,1,"['보증금_대항력', '행정절차', '임대료_증감']",제3조의6(확정일자 부여 및 임대차 정보제공 등),"임대차 계약 시 주택의 소유권 확정을 위해 읍·면사무소나 등기소 등에서 확정일자를 부여받을 수 있으며, 임대인이나 임차인은 필요한 정보를 요청할 수 있습니다. 요청 시 수수료가 발생할 수 있습니다.",주택임대차보호법(법률)(제21065호)(20260102).docx,주택임대차보호법(법률)(제21065호)(20260102),"① 제3조의2제2항의 확정일자는 주택 소재지의 읍ㆍ면사무소, 동 주민센터 또는 시(특별시ㆍ광역시ㆍ특별자치시는 제외하고, 특별자치도는 포함한다)ㆍ군ㆍ구(자치구를 말한다)의 출장소, 지방법원 및 그 지원과 등기소 또는 「공증인법」에 따른 공증인(이하 이 조에서 “확정일자부여기관”이라 한다)이 부여한다.

② 확정일자부여기관은 해당 주택의 소재지, 확정일자 부여일, 차임 및 보증금 등을 기재한 확정일자부를 작성하여야 한다. 이 경우 전산처리정보조직을 이용할 수 있다.

③ 주택의 임대차에 이해관계가 있는 자는 확정일자부여기관에 해당 주택의 확정일자 부여일, 차임 및 보증금 등 정보의 제공을 요청할 수 있다. 이 경우 요청을 받은 확정일자부여기관은 정당한 사유 없이 이를 거부할 수 없다.

④ 임대차계약을 체결하려는 자는 임대인의 동의를 받아 확정일자부여기관에 제3항에 따른 정보제공을 요청할 수 있다.

⑤ 제1항ㆍ제3항 또는 제4항에 따라 확정일자를 부여받거나 정보를 제공받으려는 자는 수수료를 내야 한다.

⑥ 확정일자부에 기재하여야 할 사항, 주택의 임대차에 이해관계가 있는 자의 범위, 확정일자부여기관에 요청할 수 있는 정보의 범위 및 수수료, 그 밖에 확정일자부여사무와 정보제공 등에 필요한 사항은 대통령령 또는 대법원규칙으로 정한다.

[본조신설 2013. 8. 13.]"
주택임대차보호법(법률)(제21065호)(20260102)_009,1,"['권리_정보리스크', '보증금_대항력', '행정절차', '임대료_증감']",제3조의7(임대인의 정보 제시 의무),"임대인은 임대차 계약 시 임차인에게 주택의 확정일자 부여일, 임대료 정보 등을 제공해야 하며, 동의 시 일부 정보 제공을 생략할 수 있다. 또한, 임대인은 임차인의 동의 없이도 국세 및 지방세 미납 정보를 제공할 의무가 있다.",주택임대차보호법(법률)(제21065호)(20260102).docx,주택임대차보호법(법률)(제21065호)(20260102),"임대차계약을 체결할 때 임대인은 다음 각 호의 사항을 임차인에게 제시하여야 한다.

1. 제3조의6제3항에 따른 해당 주택의 확정일자 부여일, 차임 및 보증금 등 정보. 다만, 임대인이 임대차계약을 체결하기 전에 제3조의6제4항에 따라 동의함으로써 이를 갈음할 수 있다.

2. 「국세징수법」 제108조에 따른 납세증명서 및 「지방세징수법」 제5조제2항에 따른 납세증명서. 다만, 임대인이 임대차계약을 체결하기 전에 「국세징수법」 제109조제1항에 따른 미납국세와 체납액의 열람 및 「지방세징수법」 제6조제1항에 따른 미납지방세의 열람에 각각 동의함으로써 이를 갈음할 수 있다.

[본조신설 2023. 4. 18.]"
