chunk_id,priority,category,article,title,source,src_title,page_content
민사집행법(법률)(제20434호)(20250131)_000,8,['기타'],민사집행법,민사집행법,민사집행법(법률)(제20434호)(20250131).docx,민사집행법(법률)(제20434호)(20250131),민사집행법
민사집행법(법률)(제20434호)(20250131)_001,8,['분쟁해결'],제1조(목적),"이 법은 민사집행 과정, 즉 채무 상환을 위한 경매 절차와 담보권 행사 방법 등을 명확히 규정하여 법적 권리 행사를 원활하게 하기 위함입니다.",민사집행법(법률)(제20434호)(20250131).docx,민사집행법(법률)(제20434호)(20250131),"이 법은 강제집행, 담보권 실행을 위한 경매, 민법ㆍ상법, 그 밖의 법률의 규정에 의한 경매(이하 “민사집행”이라 한다) 및 보전처분의 절차를 규정함을 목적으로 한다."
민사집행법(법률)(제20434호)(20250131)_002,8,"['분쟁해결', '임차권_승계']",제39조(집행개시의 요건),"강제집행을 시작하려면 신청한 사람과 집행 대상인 사람의 이름이 명시된 판결문이 있어야 하며, 이미 송달되었거나 동시에 송달된 상태여야 합니다. 또한, 채권자나 채무자의 승계인에게도 필요한 경우 추가 송달이 필요합니다.",민사집행법(법률)(제20434호)(20250131).docx,민사집행법(법률)(제20434호)(20250131),"①강제집행은 이를 신청한 사람과 집행을 받을 사람의 성명이 판결이나 이에 덧붙여 적은 집행문에 표시되어 있고 판결을 이미 송달하였거나 동시에 송달한 때에만 개시할 수 있다.

②판결의 집행이 그 취지에 따라 채권자가 증명할 사실에 매인 때 또는 판결에 표시된 채권자의 승계인을 위하여 하는 것이거나 판결에 표시된 채무자의 승계인에 대하여 하는 것일 때에는 집행할 판결 외에, 이에 덧붙여 적은 집행문을 강제집행을 개시하기 전에 채무자의 승계인에게 송달하여야 한다.

③증명서에 의하여 집행문을 내어 준 때에는 그 증명서의 등본을 강제집행을 개시하기 전에 채무자에게 송달하거나 강제집행과 동시에 송달하여야 한다."
민사집행법(법률)(제20434호)(20250131)_003,8,['분쟁해결'],제40조(집행개시의 요건),"채무 이행 기한이 지난 후 강제집행을 시작할 수 있으며, 채권자가 담보를 제공한 경우 증명서류를 채무자에게 먼저 알려야 집행이 가능하다.",민사집행법(법률)(제20434호)(20250131).docx,민사집행법(법률)(제20434호)(20250131),"①집행을 받을 사람이 일정한 시일에 이르러야 그 채무를 이행하게 되어 있는 때에는 그 시일이 지난 뒤에 강제집행을 개시할 수 있다.

②집행이 채권자의 담보제공에 매인 때에는 채권자는 담보를 제공한 증명서류를 제출하여야 한다. 이 경우의 집행은 그 증명서류의 등본을 채무자에게 이미 송달하였거나 동시에 송달하는 때에만 개시할 수 있다."
민사집행법(법률)(제20434호)(20250131)_004,8,['분쟁해결'],제41조(집행개시의 요건),채권자는 반대 의무 이행이나 다른 의무 이행 불가능성을 증명해야만 법적 강제집행을 시작할 수 있다.,민사집행법(법률)(제20434호)(20250131).docx,민사집행법(법률)(제20434호)(20250131),"①반대의무의 이행과 동시에 집행할 수 있다는 것을 내용으로 하는 집행권원의 집행은 채권자가 반대의무의 이행 또는 이행의 제공을 하였다는 것을 증명하여야만 개시할 수 있다.

②다른 의무의 집행이 불가능한 때에 그에 갈음하여 집행할 수 있다는 것을 내용으로 하는 집행권원의 집행은 채권자가 그 집행이 불가능하다는 것을 증명하여야만 개시할 수 있다."
민사집행법(법률)(제20434호)(20250131)_005,8,"['임차권_승계', '분쟁해결']",제52조(집행을 개시한 뒤 채무자가 죽은 경우),"강제집행이 시작된 후 채무자가 사망하면, 그 재산에 대한 집행은 계속됩니다. 상속인이 불분명한 경우에는 채권자의 요청에 따라 특별대리인을 선임하여 처리합니다.",민사집행법(법률)(제20434호)(20250131).docx,민사집행법(법률)(제20434호)(20250131),"①강제집행을 개시한 뒤에 채무자가 죽은 때에는 상속재산에 대하여 강제집행을 계속하여 진행한다.

②채무자에게 알려야 할 집행행위를 실시할 경우에 상속인이 없거나 상속인이 있는 곳이 분명하지 아니하면 집행법원은 채권자의 신청에 따라 상속재산 또는 상속인을 위하여 특별대리인을 선임하여야 한다.

③제2항의 특별대리인에 관하여는 「민사소송법」 제62조제2항부터 제5항까지의 규정을 준용한다.<개정 2016. 2. 3.>"
민사집행법(법률)(제20434호)(20250131)_006,8,"['분쟁해결', '임대료_증감']",제53조(집행비용의 부담),"강제집행 과정에서 발생하는 비용은 채무자가 먼저 부담하고, 만약 판결이 취소되면 채권자는 그 비용을 채무자에게 다시 청구해야 합니다.",민사집행법(법률)(제20434호)(20250131).docx,민사집행법(법률)(제20434호)(20250131),"①강제집행에 필요한 비용은 채무자가 부담하고 그 집행에 의하여 우선적으로 변상을 받는다.

②강제집행의 기초가 된 판결이 파기된 때에는 채권자는 제1항의 비용을 채무자에게 변상하여야 한다."
민사집행법(법률)(제20434호)(20250131)_007,8,"['분쟁해결', '권리_정보리스크']",제78조(집행방법),"부동산 강제집행은 채권자가 법원에 신청하면 법원이 진행하며, 채권자는 경매나 직접 관리 방식 중 선택하거나 둘을 함께 사용할 수 있다. 가압류 상태에서도 강제관리가 가능하다.",민사집행법(법률)(제20434호)(20250131).docx,민사집행법(법률)(제20434호)(20250131),"①부동산에 대한 강제집행은 채권자의 신청에 따라 법원이 한다.

②강제집행은 다음 각호의 방법으로 한다.

1. 강제경매

2. 강제관리

③채권자는 자기의 선택에 의하여 제2항 각호 가운데 어느 한 가지 방법으로 집행하게 하거나 두 가지 방법을 함께 사용하여 집행하게 할 수 있다.

④강제관리는 가압류를 집행할 때에도 할 수 있다."
민사집행법(법률)(제20434호)(20250131)_008,8,['분쟁해결'],제79조(집행법원),"부동산 강제집행은 해당 부동산이 위치한 지방법원이 주된 관할이며, 여러 지방법원 관할 지역에 걸쳐 있으면 해당 지역의 여러 법원이 동시에 관할할 수 있다. 필요하다면 법원이 다른 관할 법원으로 사건을 이송할 수 있다.",민사집행법(법률)(제20434호)(20250131).docx,민사집행법(법률)(제20434호)(20250131),"①부동산에 대한 강제집행은 그 부동산이 있는 곳의 지방법원이 관할한다.

②부동산이 여러 지방법원의 관할구역에 있는 때에는 각 지방법원에 관할권이 있다. 이 경우 법원이 필요하다고 인정한 때에는 사건을 다른 관할 지방법원으로 이송할 수 있다."
민사집행법(법률)(제20434호)(20250131)_009,8,['분쟁해결'],제80조(강제경매신청서),"강제경매신청서에는 채권자와 채무자의 정보, 경매 대상 부동산의 주소, 그리고 채무 이행을 위한 법원의 명령서나 판결문 등이 반드시 포함되어야 합니다. 이를 통해 법원은 경매의 적법성을 판단하고 진행합니다.",민사집행법(법률)(제20434호)(20250131).docx,민사집행법(법률)(제20434호)(20250131),"강제경매신청서에는 다음 각호의 사항을 적어야 한다.

1. 채권자ㆍ채무자와 법원의 표시

2. 부동산의 표시

3. 경매의 이유가 된 일정한 채권과 집행할 수 있는 일정한 집행권원"
