chunk_id,priority,category,article,title,source,src_title,page_content
경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230)_000,7,['분쟁해결'],경기도 주택임대차분쟁조정위원회 구성 및 운영 조례,경기도 주택임대차분쟁조정위원회 구성 및 운영 조례,경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230).docx,경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230),경기도 주택임대차분쟁조정위원회 구성 및 운영 조례
경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230)_001,7,['분쟁해결'],제1조(목적),경기도 주택임대차분쟁조정위원회를 설립하고 운영하기 위한 기본 규칙과 절차를 정하는 것이 목적입니다.,경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230).docx,경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230),이 조례는 경기도 주택임대차분쟁조정위원회의 구성 및 운영에 필요한 사항을 규정하는 것을 목적으로 한다.
경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230)_002,7,"['분쟁해결', '보증금_대항력', '임대료_증감', '수선_원상회복', '손해배상_책임']",제2조(경기도 주택임대차분쟁조정위원회 설치 등),"경기도에서는 주택임대차 관련 분쟁을 해결하기 위해 경기도지사 소속의 경기도 주택임대차분쟁조정위원회를 설치하여 차임, 기간, 보증금 반환 등 다양한 분쟁을 조정합니다.",경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230).docx,경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230),"① 「주택임대차보호법」(이하 “법”이라 한다) 제14조제1항 후단에 따라 경기도 소재 임차주택의 주택임대차와 관련된 분쟁을 심의ㆍ조정하기 위하여 경기도지사(이하 “도지사”라 한다) 소속으로 경기도 주택임대차분쟁조정위원회(이하 “조정위원회”라 한다)를 둔다.

② 조정위원회는 다음 각 호의 사항을 심의ㆍ조정한다.

1. 차임 또는 보증금의 증감에 관한 분쟁

2. 임대차 기간에 관한 분쟁

3. 보증금 또는 임차주택의 반환에 관한 분쟁

4. 임차주택의 유지ㆍ수선 의무에 관한 분쟁

5. 임대차계약의 이행 및 임대차계약 내용의 해석에 관한 분쟁

6. 임대차계약 갱신 및 종료에 관한 분쟁

7. 임대차계약의 불이행 등에 따른 손해배상청구에 관한 분쟁

8. 공인중개사 보수 등 비용부담에 관한 분쟁

9. 주택임대차표준계약서 사용에 관한 분쟁

10. 그 밖에 제1호부터 제9호까지의 규정에 준하는 분쟁으로서 조정위원회의 위원장(이하 “위원장”이라 한다)이 조정이 필요하다고 인정하는 분쟁"
경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230)_003,7,['분쟁해결'],제4조(조정위원회 구성),"임대차 분쟁 해결을 위해 성별 균형을 고려한 조정위원회를 구성하며, 위원장은 해당 분야 전문가 중에서 선출되고 위원들은 법학, 법학 관련 경력, 부동산 업무 경험 등이 풍부한 사람들로 이루어져 있다. 위원회는 5명 이상에서 30명 이하로 운영되며, 특히 절반 이상은 법률 및 부동산 분야 전문가여야 한다.",경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230).docx,경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230),"① 조정위원회는 위원장 1명을 포함하여 5명 이상 30명 이하의 위원으로 성별을 고려하여 구성한다.<개정 2021.3.16.>

② 조정위원회의 위원(이하 “조정위원”이라 한다)은 도지사가 임명하거나 위촉한다.

③ 조정위원은 주택임대차에 관한 학식과 경험이 풍부한 사람으로서 다음 각 호의 어느 하나에 해당하는 사람으로 한다. 이 경우 제1호부터 제4호까지에 해당하는 조정위원을 각 1명 이상 위촉하여야 하고, 조정위원 중 5분의 2 이상은 제2호에 해당하는 사람이어야 한다.

1. 법학ㆍ경제학 또는 부동산학 등을 전공하고 대학이나 공인된 연구기관에서 부교수 이상 또는 이에 상당하는 직에 재직한 사람

2. 판사ㆍ검사 또는 변호사로 6년 이상 재직한 사람

3. 감정평가사ㆍ공인회계사ㆍ법무사 또는 공인중개사로서 주택임대차 관계 업무에 6년 이상 종사한 사람

4. 「사회복지사업법」에 따른 사회복지법인과 그 밖의 비영리법인에서 주택임대차분쟁에 관한 상담에 6년 이상 종사한 경력이 있는 사람

5. 경기도 주택임대차 관련 업무를 담당하는 4급 이상의 공무원

6. 세무사ㆍ주택관리사ㆍ건축사로서 주택임대차 관계 업무에 6년 이상 종사한 사람

④ 위원장은 제3항제2호에 해당하는 위원 중에서 위원들이 호선한다.

⑤ 위원장은 조정위원회를 대표하여 그 직무를 총괄한다.

⑥ 위원장이 부득이한 사유로 직무를 수행할 수 없는 경우에는 위원장이 미리 지명한 조정위원이 그 직무를 대행한다.

⑦ 조정위원의 임기는 3년으로 하되 연임할 수 있으며, 보궐위원의 임기는 전임자의 남은 임기로 한다.

⑧ 조정위원회는 위원장 또는 제3항제2호에 해당하는 조정위원 1명 이상을 포함한 재적위원 과반수의 출석과 출석위원 과반수의 찬성으로 의결한다."
경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230)_004,7,"['분쟁해결', '계약해지_명도', '행정절차', '임대료_증감']",제12조(조정의 신청 등),주택임대차 분쟁이 발생하면 당사자는 조정위원회에 서면이나 구두로 조정을 신청할 수 있습니다. 구두 신청 시에는 경기도 법무 부서 공무원에게 진술하고 조정신청서를 작성하여 서명해야 합니다.,경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230).docx,경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230),"① 제2조제2항 각 호의 어느 하나에 해당하는 주택임대차분쟁의 당사자는 조정위원회에 분쟁의 조정을 신청할 수 있다.

② 조정의 신청은 서면(「전자문서 및 전자거래 기본법」 제2조제1호에 따른 전자문서를 포함한다. 이하 이 조에서 같다) 또는 구두로 할 수 있다.

③ 구두로 조정을 신청하는 경우 조정신청인은 경기도의 법무업무를 담당하는 부서의 소속 공무원(이하 이 항에서 “공무원”이라 한다)에게 진술하여야 한다. 이 경우 조정신청을 받은 공무원은 조정신청조서를 작성하고 신청인으로 하여금 서명 또는 기명날인하도록 하여야 한다.

④ 조정신청서 또는 조정신청조서에는 당사자, 대리인, 신청의 취지와 분쟁의 내용 등을 기재하여야 한다. 이 경우 증거서류 또는 증거물이 있는 경우에는 이를 첨부하거나 제출하여야 한다.

⑤ 조정위원회는 신청인이 조정을 신청할 때 조정 절차 및 조정의 효력 등 분쟁조정에 관하여 다음 각 호의 사항을 안내하여야 한다.

1. 제7항 각 호에 따른 조정 신청의 각하 사유

2. 제14조제1항에 따른 조정절차의 개시<개정 2021.3.16.>

3. 제15조의 처리기간

4. 제16조에 따라 필요한 경우 신청인, 피신청인, 분쟁 관련 이해관계인 또는 참고인에게 출석하여 진술하게 하거나 필요한 자료나 물건 등의 제출을 요구할 수 있다는 사실

5. 조정성립의 요건 및 효력

6. 당사자가 부담하는 비용

⑥ 제5항에 따른 안내는 안내할 사항이 기재된 서면을 교부 또는 송달하는 방법으로 할 수 있다.

⑦ 위원장은 다음 각 호의 어느 하나에 해당하는 경우 신청을 각하한다. 이 경우 그 사유를 신청인에게 통지하여야 한다.

1. 이미 해당 분쟁조정사항에 대하여 법원에 소가 제기되거나 조정 신청이 있은 후 소가 제기된 경우

2. 이미 해당 분쟁조정사항에 대하여 「민사조정법」에 따른 조정이 신청된 경우나 조정신청이 있은 후 같은 법에 따른 조정이 신청된 경우

3. 이미 해당 분쟁조정사항에 대하여 법에 따른 조정위원회에 조정이 신청된 경우나 조정신청이 있은 후 조정이 성립된 경우

4. 조정신청 자체로 주택임대차에 관한 분쟁이 아님이 명백한 경우

5. 피신청인이 조정절차에 응하지 아니한다는 의사를 통지한 경우<개정 2021.3.16.>

6. 신청인이 정당한 사유 없이 조사에 응하지 아니하거나 2회 이상 출석요구에 응하지 아니한 경우"
경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230)_005,7,"['분쟁해결', '계약해지_명도']",제14조(조정절차),"조정신청을 받으면 조정위원회는 즉시 절차를 시작하고, 피신청인에게 조정신청서를 전달해야 합니다. 피신청인은 조정에 동의하면 7일 이내에 그 의사를 밝히고, 위원회는 필요 시 답변서 제출 기한을 지정할 수 있습니다.",경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230).docx,경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230),"① 조정위원회의 위원장은 신청인으로부터 조정신청을 접수한 때에는 지체 없이 조정절차를 개시하여야 한다. [신설 2021.3.16.]

② 조정위원회의 위원장은 제1항에 따라 조정신청을 접수하면 지체 없이 조정신청서 또는 조정신청조서 부본(이하 이 조에서 “조정신청서등”이라 한다)을 피신청인에게 송달하여야 한다. 이 경우 제12조제5항을 준용한다.<개정 2021.3.16.>

③ 피신청인은 조정에 응할 의사가 있는 경우에는 조정신청서등을 송달받은 날부터 7일 이내에 그 의사를 조정위원회에 통지하여야 한다.

④ 위원장은 제3항에 따른 통지를 받은 경우 피신청인에게 기간을 정하여 신청내용에 대한 답변서를 제출할 것을 요구할 수 있다."
경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230)_006,7,"['분쟁해결', '계약해지_명도']",제18조(조정의 성립),"조정안을 받은 당사자는 14일 이내에 수락 의사를 서면으로 밝혀야 조정이 성립되며, 수락하지 않으면 조정이 거부된 것으로 간주된다. 수락 시 합의 내용은 조정서로 작성되며, 금전 지급이나 부동산 인도 등 대체 합의가 포함될 수 있다.",경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230).docx,경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230),"① 조정위원회가 조정안을 작성한 경우에는 그 조정안을 지체 없이 각 당사자에게 통지하여야 한다.

② 제1항에 따라 조정안을 통지받은 당사자가 통지받은 날부터 14일 이내에 수락의 의사를 서면으로 표시하지 아니한 경우에는 조정을 거부한 것으로 본다.<개정 2021.3.16.>

③ 제2항에 따라 각 당사자가 조정안을 수락한 경우에는 조정안과 동일한 내용의 합의가 성립된 것으로 본다.

④ 제3항에 따른 합의가 성립한 경우 위원장은 조정안의 내용을 조정서로 작성한다. 위원장은 각 당사자 간에 금전, 그 밖의 대체물의 지급 또는 부동산의 인도에 관하여 강제집행을 승낙하는 취지의 합의가 있는 경우에는 그 내용을 조정서에 기재하여야 한다."
경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230)_007,7,['분쟁해결'],제21조(조정의 효력),"조정서에 강제집행을 승낙하는 내용이 명시되면, 그 효력이 법적으로 집행권원과 동등하게 인정되어 법적 구속력이 발생합니다.",경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230).docx,경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230),제18조제4항 후단에 따라 강제집행을 승낙하는 취지의 내용이 기재된 조정서의 정본은 법 제27조에 따라 집행력 있는 집행권원과 같은 효력을 가진다.
경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230)_008,7,['분쟁해결'],제23조(다른 법률의 준용),민사 분쟁 해결 과정에서 특정 법률이 명시하지 않은 사항은 민사조정법에 따라 처리된다.,경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230).docx,경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230),조정위원회의 운영 및 조정절차에 관하여 법에서 규정하지 아니한 사항에 대하여는 「민사조정법」에 따른다.
경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230)_009,7,['기타'],제24조(시행규칙),"이 조례는 시행 과정에서 구체적인 세부 사항을 규칙으로 정하도록 규정하고 있어, 실질적인 적용 방법은 관련 규칙을 통해 확인할 수 있습니다.",경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230).docx,경기도 주택임대차분쟁조정위원회 구성 및 운영 조례(경기도조례)(제7495호)(20221230),"이 조례의 시행에 관하여 필요한 사항은 규칙으로 정한다.





부 칙  (경기도 조례 속 어려운 용어 등 일괄정비조례) <제7495호, 2022.12.30.>



이 조례는 공포한 날부터 시행한다.



법제처                                                                         국가법령정보센터"
