article,category,chunk_id,priority,source,src_title,text
,"['우선변제권', '주택유형']",chunk_00,3,C:/Users/Admin/AI/lecNote/10_2ndProject/data/raw/rule,주택임대차보호법_시행규칙(제1022호)(20220207),"주택임대차계약증서상의 확정일자 부여 및 임대차 정보제공에 관한 규칙

주택임대차계약증서상의 확정일자 부여 및 임대차 정보제공에 관한 규칙

[시행 2022. 2. 7.] [법무부령 제1022호, 2022. 2. 7., 타법개정]

법무부(법무심의관실) 02-2110-3164"
"「1조, 3조」","['우선변제권', '주택유형']",chunk_01,3,C:/Users/Admin/AI/lecNote/10_2ndProject/data/raw/rule,주택임대차보호법_시행규칙(제1022호)(20220207),"제1조(목적) 이 규칙은 「주택임대차보호법」 제3조의6에 따른 주택임대차계약증서상의 확정일자 부여 및 임대차 정보제공에 관한 사항을 규정함을 목적으로 한다.

[전문개정 2013. 12. 31.]"
"「1조, 3조」","['우선변제권', '주택유형']",chunk_02,3,C:/Users/Admin/AI/lecNote/10_2ndProject/data/raw/rule,주택임대차보호법_시행규칙(제1022호)(20220207),"제1조의2(정의) 이 규칙에서 사용하는 용어의 뜻은 다음과 같다.

1. “전자계약증서”란 「주택임대차보호법」(이하 “법”이라 한다) 제3조의2제2항에 따른 임대차계약증서로서 정보처리시스템에 의하여 전자적 형태로 작성, 송신ㆍ수신된 것을 말한다.

2. “정보처리시스템”이란 전자적으로 이루어지는 부동산 거래 및 관련 신고절차 이행을 위하여 국토교통부가 운영하는 정보처리능력을 가진 전자적 장치 또는 체계를 말한다.

[본조신설 2016. 5. 23.]"
"「2조, 3조, 4조」","['우선변제권', '대항력', '주택유형']",chunk_03,3,C:/Users/Admin/AI/lecNote/10_2ndProject/data/raw/rule,주택임대차보호법_시행규칙(제1022호)(20220207),"제2조(확정일자 부여 신청 방법) ① 법 제3조의2제2항에 따른 주택임대차계약증서(이하 “계약증서”라 한다)의 소지인은 「주택임대차보호법 시행령」(이하 “영”이라 한다) 제4조제1항에 따른 확정일자부여기관(이하 “확정일자부여기관”이라 한다)에 대하여 확정일자 부여를 신청할 수 있다. <개정 2016. 5. 23.>

② 계약증서에 확정일자를 부여받으려는 자는 확정일자부여기관에 출석하여 계약증서 원본과 주민등록증, 운전면허증, 여권 또는 외국인등록증 등 본인을 확인할 수 있는 신분증을 제시하여야 한다.

[전문개정 2013. 12. 31.]"
「2조」,"['우선변제권', '주택유형', '대항력', '독소조항']",chunk_04,3,C:/Users/Admin/AI/lecNote/10_2ndProject/data/raw/rule,주택임대차보호법_시행규칙(제1022호)(20220207),"제2조의2(전자계약증서의 확정일자 부여 신청 방법) ① 제2조에도 불구하고 정보처리시스템을 이용하여 주택임대차계약을 체결한 경우 해당 주택의 임차인은 정보처리시스템을 통하여 전자계약증서에 확정일자 부여를 신청할 수 있다.

② 제1항의 확정일자 부여 신청은 확정일자부여기관 중 주택 소재지의 읍ㆍ면사무소, 동 주민센터 또는 시(특별시ㆍ광역시ㆍ특별자치시는 제외하고, 특별자치도는 포함한다)ㆍ군ㆍ구(자치구를 말한다)의 출장소(이하 “주민센터등”이라 한다)에 대하여 한다.

[본조신설 2016. 5. 23.]"
「3조」,"['우선변제권', '차임보증금', '계약갱신', '독소조항']",chunk_05,3,C:/Users/Admin/AI/lecNote/10_2ndProject/data/raw/rule,주택임대차보호법_시행규칙(제1022호)(20220207),"제3조(확정일자 부여 시 확인사항) 확정일자부여기관은 계약증서에 확정일자를 부여하기 전에 다음 각 호의 사항을 확인하여야 한다. <개정 2016. 5. 23.>

1. 임대인ㆍ임차인의 인적사항, 임대차목적물, 임대차기간, 차임ㆍ보증금 등이 적혀 있는 완성된 문서일 것

2. 계약당사자(대리인에 의하여 계약이 체결된 경우에는 그 대리인을 말한다. 이하 같다)의 서명 또는 기명날인이 있을 것

3. 글자가 연결되어야 할 부분에 빈 공간이 있는 경우에는 계약당사자가 빈 공간에 직선 또는 사선을 그어 그 부분에 다른 글자가 없음이 표시되어 있을 것

4. 정정한 부분이 있는 경우에는 그 난의 밖이나 끝부분 여백에 정정한 글자 수가 기재되어 있고, 그 부분에 계약당사자의 서명이나 날인이 되어있을 것

5. 계약증서(전자계약증서는 제외한다)가 두 장 이상인 경우에는 간인(間印)이 있을 것

6. 확정일자가 부여되어 있지 아니할 것. 다만, 이미 확정일자를 부여받은 계약증서에 새로운 내용을 추가 기재하여 재계약을 한 경우에는 그러하지 아니하다.

[전문개정 2013. 12. 31.]"
"「4조, 5조」","['우선변제권', '독소조항']",chunk_06,3,C:/Users/Admin/AI/lecNote/10_2ndProject/data/raw/rule,주택임대차보호법_시행규칙(제1022호)(20220207),"제4조(계약증서의 확정일자 부여 방법) ① 확정일자는 계약증서의 여백(여백이 없는 경우에는 그 뒷면을 말한다)에 별지 제1호서식의 확정일자인을 찍고, 인영(印影) 안에 날짜와 제5조제1항에 따른 확정일자부의 확정일자번호를 아라비아숫자로 적는 방법으로 부여한다.

② 계약증서가 두 장 이상인 경우에는 간인해야 한다. 다만, 간인은 구멍 뚫기 방식으로 갈음할 수 있다.<개정 2022. 2. 7.>

③ 계약증서와 확정일자부 사이는 계인(契印)을 한다. 다만, 확정일자부여기관(공증인은 제외한다)이 제5조제5항에 따른 전산정보처리조직을 이용하여 확정일자부를 작성하는 경우에는 전산입력한 확정일자부의 기재내용을 출력하여 신청인에게 입력사항에 오류가 있는지의 여부를 확인하게 하여야 한다.<개정 2016. 5. 23.>

[전문개정 2013. 12. 31.]

[제목개정 2016. 5. 23.]"
"「4조, 5조」",['우선변제권'],chunk_07,3,C:/Users/Admin/AI/lecNote/10_2ndProject/data/raw/rule,주택임대차보호법_시행규칙(제1022호)(20220207),"제4조의2(전자계약증서의 확정일자 부여 방법) ① 제4조에도 불구하고 전자계약증서상의 확정일자는 전자계약증서에 별지 제1호의2서식의 전자확정일자인을 입력한 후 인영(印影) 안에 날짜와 제5조제1항에 따른 확정일자부의 확정일자번호를 아라비아 숫자로 입력하는 방법으로 부여한다.

② 전자계약증서에 확정일자가 부여된 경우 정보처리시스템 운영자는 임차인과 임대인에게 문자메시지 등의 방법으로 이를 통보하여야 한다.

[본조신설 2016. 5. 23.]"
「4조」,"['우선변제권', '대항력', '독소조항']",chunk_08,3,C:/Users/Admin/AI/lecNote/10_2ndProject/data/raw/rule,주택임대차보호법_시행규칙(제1022호)(20220207),"제4조의3(전자계약증서의 확정일자 부여에 관한 특례) ① 주민센터등은 전산장애 등 특별한 사정이 없는 한 전자확정일자 부여의 신청이 접수된 당일에 확정일자를 부여하여야 한다. 다만, 평일 16시 이후 또는 토요일이나 공휴일에 신청이 접수된 경우에는 다음 근무일에 부여할 수 있다.

② 제1항 단서의 경우 정보처리시스템 운영자는 신청인에게 확정일자가 당일 부여되지 않을 수 있음을 정보처리시스템 내에서 안내하여야 한다.

[본조신설 2016. 5. 23.]"
"「3조, 5조」","['우선변제권', '독소조항']",chunk_09,3,C:/Users/Admin/AI/lecNote/10_2ndProject/data/raw/rule,주택임대차보호법_시행규칙(제1022호)(20220207),"제5조(확정일자부의 작성방법 등) ① 법 제3조의6제2항에 따른 확정일자부의 확정일자번호는 신청 순으로 부여하여야 한다.

② 확정일자부는 1년을 단위로 매년 만들고, 사용기간이 지난 확정일자부는 마지막으로 적힌 확정일자번호의 다음 줄에 폐쇄의 뜻을 표시한 후 폐쇄하여야 한다.

③ 제2항에 따라 폐쇄한 확정일자부는 20년간 보존하여야 한다.

④ 확정일자부를 작성하는 경우 확정일자부의 전국적인 통일을 위하여 별지 제2호서식을 표준서식으로 사용할 수 있다. 다만, 공증인이 작성하는 확정일자부는 「확정일자부 및 일자인 조제에 관한 규정」에 따른다.

⑤ 확정일자부여기관(공증인은 제외한다)이 법 제3조의6제2항 후단에 따라 확정일자부 작성 시 이용할 수 있는 전산처리정보조직은 부동산 거래의 계약ㆍ신고ㆍ허가ㆍ관리 등의 업무와 관련하여 국토교통부장관이 구축ㆍ운영하는 정보체계를 말한다.<개정 2016. 5. 23.>

[전문개정 2013. 12. 31.]"
