id,category,priority,article,chunk_id,source,text,law_type
243e0786-a330-4475-a2cd-f7750119749b,case,50,사례 1,case_1_1,2025전세피해지원사례집.pdf,"전세대출 연체 문제
주요
전세피해주택에서 퇴거하고자 하나 임대인이 연락 두절(또는 구속, 보증금 반환불가 통지
등) 되었습니다. 곧 전세대출 만기인데 대출이 연체될까 걱정입니다.
피해지원 상담 사례
l 임 대인이 보증금을 돌려주지 않고 연락이 두절되는 등 임차인이 전세사기 피해를 당한 경우에는
대출보증기관(HF, SGI, HUG)의 전세대출 연장방안에 따라 대출 연장이 가능할 수 있으며,
대출보증기관(HF, SGI, HUG)의 보증 없는 전세대출의 경우에는 대출 연장이 불가할 수 있으니,
자세한 사항은 해당 대출취급 금융기관에 문의하시기 바랍니다.
[ 전세대출 연장방안 (은행연합회 FAQ) ]
• 한 국주택금융공사(HF) / 서울보증보험(SGI) : 임차권등기 신청 접수증으로 6개월 연장 가능하고
임차권등기 경료 이후 추가 연장 가능
* 단 대항력 확보를 위해 임차권등기 경료시까지 점유 및 전입신고를 유지해야 함
• 주택도시보증공사(HUG) : 전세보증금반환보증을 통해 보증금을 반환받아 퇴거 가능, 임차권
등기 등 절차 지연시 임차인의 신용 보호를 위하여 6개월 연장 가능
* 임 차권등기 절차 추가 지연시 6개월 추가 연장 가능(단, 의사표시 공시송달을 신청한 사실을 확인할 수 있는 서류가 있는
경우에 한함)
※ 연 장방안과 관련하여 은행연합회 홈페이지(www.kfb.or.kr) 보도자료에 게재(’23.4.14.)된 보도 참고자료
(‘은행권은 전세사기 피해 임차인의 전세대출 연장이 원활히 이루어질 수 있도록 지원하겠습니다’)를
참고하시기 바랍니다.
l 아 울러, 국토부 전세사기피해자(다목 포함)로 결정받거나 HUG 전세피해확인서를 발급받는 등
대환대출 요건을 충족한 임차인의 경우, 은행의 대출심사(자산·소득 등)를 통해 기존 전세대출을
저리대출로 대환(1.2%~2.7%)할 수 있습니다.
27
전세피해지원 프로그램 및 전세피해 상담 사례집 주요 피해지원 상담",사례/판례/피해상담
0e5820dc-2fc3-4122-8d35-e32b91540fc0,case,50,사례 2,case_2_1,2025전세피해지원사례집.pdf,"전세피해 임차인 무이자 대출 지원 3 생업상 주거이전 문제
전세 계약기간이 끝났지만 집주인이 보증금을 돌려줄 수 없다고 합니다. 이직 등으로
전세피해 임차인을 위한 무이자 대출이 있다던데 어떻게 받을 수 있나요?
이사를 가야하는 상황인데, 새로운 주거지로 이전하기 위한 지원은 없나요?
l 전 세피해 임차인을 위한 무이자 대출은 국토부 전세사기피해자 대상 ①최우선변제금 무이자 전세 l 국 토부 전세사기피해자(나목, 다목 포함)로 결정을 받거나 HUG 전세피해확인서(주거지원용) 발급
대출과 HUG 전세피해확인서를 발급받은 임차인을 대상으로 하는 ②신규 임차자금 무이자대출이 요건을 충족하는 임차인은 생업상 주거이전 사유(직장, 질병 등 사유로 직선거리 40km 이상 이사 필요
있고, 대출에는 해당하지 않지만 기존 전세대출 상환이 어려운 국토부 전세사기 피해자(다목 포함)의 등)로 인해 피해주택에 거주하기 어려울 경우 긴급 주거지원을 통해 최대 2년간 공공임대주택을
신용회복 지원을 위하여 ③기존 전세대출 무이자 분할상환(최대 20년)을 지원하고 있습니다. 지원받을 수 있습니다.
l ① 최우선변제금 무이자 전세대출 : 국토부 전세사기피해자 중 보증금 증액갱신으로 인하여 l 긴 급 주거지원이 불가한 임차인의 경우에는 국토부 전세사기피해자(다목 포함) 또는 HUG 전세피해
주택임대차보호법상 최우선변제금 기준을 초과하였거나, 선순위 근저당 설정일 기준으로 확인서(저리대출용) 발급 등의 피해자 요건을 충족할 경우 은행의 대출심사(자산·소득 등)를 통해 신규
최우선변제금 기준을 초과하여 최우선변제금을 배당받지 못한 임차인에 한하여 은행의 임차자금 저리대출(1.2%~2.7%)을 이용할 수 있고, HUG 전세피해확인서 발급 요건을 충족하는
대출심사(자산·소득 등)를 통해 최우선변제금에 해당하는 대출금까지는 무이자, 초과분은 사회배려계층(기초생활수급권자, 한부모가족, 차상위계층) 또는 저소득 가구(부부합산 연소득 3천만원
1.2%~3.0% 금리로 신규 전세대출을 이용할 수 있습니다. 이하)는 HUG전세피해확인서(무이자대출용) 및 주거복지재단의 추천서를 발급받아 우리은행의
대출심사(자산·소득 등)를 통해 신규 임차자금 무이자대출을 이용할 수 있습니다.
l ② 신규 임차자금 무이자대출 : HUG 전세피해확인서 발급 요건을 충족하는 임차인 중 사회
배려계층(기초생활수급권자, 한부모가족, 차상위계층)에 해당하거나, 소득기준(부부합산 연소득 l 다 만, 임차권등기를 설정하지 않고 피해주택에서 전출할 경우 대항력과 우선변제권을 상실하여
3천만원 이하)을 충족하는 임차인에 대하여 전세피해확인서 발급(HUG) 및 이자지원 대상자 선정 경매 등에서 배당 순위가 밀리거나 배당에서 제외되는 등의 문제가 발생할 수 있으므로, 반드시
(주거복지재단)이 가능합니다. 이자지원 대상자로 선정된 이후에는 우리은행에 내방하여 무이자 임차권등기를 설정한 이후 전출하시기 바랍니다.
전세대출을 신청할 수 있습니다.
l ③ 기존 전세대출 무이자 분할상환 : 국토부 전세사기피해자(다목 포함)로 결정받",사례/판례/피해상담
33692535-ffd9-4531-8729-a05c2dd6dd10,case,50,사례 2,case_2_2,2025전세피해지원사례집.pdf,"은 임차인이
전세대출을 상환하기 어려운 경우, 대출보증기관(HUG, HF, SGI)에서 전세대출금을 금융기관에
대위변제한 이후 임차인에게 무이자 분할상환을 지원하고 있습니다. 무이자 분할상환 가능 여부는
피해상황에 따라 기관별 차이가 있을 수 있으니, 자세한 사항은 대출보증기관을 통해 확인하시기
바랍니다.
* 대출보증기관(HUG, HF, SGI)은 전세대출을 받은 금융기관을 통해 확인할 수 있으며 금융기관에서 대출보증 없이 취급한
전세대출은 무이자 분할상환이 불가할 수 있습니다.
28 29
전세피해지원 프로그램 및 전세피해 상담 사례집 주요 피해지원 상담",사례/판례/피해상담
675ef49b-5f37-46b0-b5e4-795e410b025a,case,50,사례 4,case_4_1,2025전세피해지원사례집.pdf,"깡통주택 매수 문제 5 보증금반환소송 등 소송비용 문제
임대인이 보증금을 돌려줄 수 없으니 피해주택의 소유권을 대신 이전해 가라고
임대인을 대상으로 보증금반환소송 등을 진행하고자 하는데 소송비용이 부담됩니다.
합니다. 보증금으로 집을 매수해도 문제가 없을까요?
l 임 대인이 피해주택 외 회수실익이 있는 재산과 소득이 없어 보증금반환이 불가한 상황이라면 l 국 토부 전세사기피해자(나목, 다목 포함) 또는 HUG 전세피해확인서를 발급받은 임차인에게는
대한변협 법률구조재단을 통해 소송대리 법률구조를 지원하고 있습니다. 전세피해 가구의 소득에
보증금으로 주택을 매수하여 소유권을 이전받는 방법을 고려해 볼 수 있습니다. 이 경우 지급명령
따라 중위소득 125%를 초과하는 피해자는 법률구조재단의 수행변호사와 매칭하여 수임료를
또는 보증금반환소송 및 경매를 통한 피해주택 강제처분 대비 시간과 비용을 절감할 수 있지만,
최대 250만원까지 지원하고 있으며, 중위소득 125% 이하인 피해자는 법률구조공단으로부터
보증금 대비 주택의 시세가 낮을 경우에는 손실이 발생할 수 있음을 유의하시기 바랍니다.
무료소송을 지원받을 수 있습니다.
l 또 한, 압류 또는 가압류 등 권리제한이 있는 주택이라면 매수 이후 문제가 발생할 수 있으니, 법률 l 아 울러, 직접 변호사 또는 법무사를 통하여 집행권원을 확보하였거나, 나홀로소송을 진행하여
전문가와 상의한 이후 명의 이전 여부를 결정하는 것이 좋습니다. 임대인의 보증금 미반환으로 인해 집행권원을 확보한 경우, 국토부 전세사기피해자(나목, 다목 포함)에게는 집행권원 확보비용 지원을
부득이하게 피해주택 매수를 고민 중인 상황이라면, HUG 전세피해지원센터(서울 강서) 또는 지자체 통해 변호사·법무사* 수임료 또는 인지·송달료를 최대 140만원(지급명령 40만원, 보증금반환소송
전세피해지원센터(인천·경기·대전·대구·부산·광주)를 통해 무료 법률상담을 받을 수 있습니다. 100만원)까지 지원하고 있습니다.
* 법무사 수임료는 지급명령 절차에 한하여 지원 가능하며, 이후 보증금반환소송을 추가 진행하신 경우 지급명령 법무사
l 아 울러, 국토부 전세사기피해자(다목 포함)로 결정받은 임차인은 은행의 대출심사(자산·소득 등)를
수임료(최대 40만원)와 반환소송 인지·송달료(최대 100만원) 지원 가능
통해 전세사기피해자 구입자금대출(디딤돌 1.85%~2.7% / 보금자리론 2.65%~3.05%)을 이용할 수
있고, 국토부 전세사기피해자로 결정받은 임차인은 피해주택에 부과되는 취득세를 최대 200만원,
재산세는 최대 3년간 50%(전용면적 60㎡ 초과 주택은 25%)까지 감면 받을 수 있습니다. 6 피해주택 경매 신청
보증금을 돌려받지 못해 피해주택에 대한 경매를 신청하려는데 지원책이 있나요?
l 국 토부 전세사기피해자로 결정받은 임차인에게는 경·공매 지원을 통해 경매신청을 포함한 경매절차
전반을 대행할 변호사 또는 법무사를 매칭하고 해당 수임료를 지원*하고 있습니다.
* HUG 70%, KB금융공익재단 30% 부담
l 아 울러, 주",사례/판례/피해상담
c6674abe-c69d-4bd1-897b-c6d358b5623c,case,50,사례 4,case_4_2,2025전세피해지원사례집.pdf,"택을 경매신청 하기 위해서는 주택에 전세권을 설정하였거나, 보증금반환청구소송
등을 통해 확보한 집행권원이 있어야 합니다. 집행권원 등 경매신청 권리를 확보하지 못한 국토부
전세사기피해자(나목, 다목 포함) 또는 HUG 전세피해확인서를 발급받은 임차인은 소득에 따라
소송대리 법률구조를 통해 대한변협 법률구조재단의 변호사 수임료 지원(최대 250만원) 또는
법률구조공단의 무료소송을 지원받을 수 있습니다.
30 31
전세피해지원 프로그램 및 전세피해 상담 사례집 주요 피해지원 상담",사례/판례/피해상담
b34ff8db-2526-468b-97aa-fc7659719734,case,50,사례 7,case_7_1,2025전세피해지원사례집.pdf,"피해주택 경 공매 발생 9 임차인의 우선매수권 양도
·
피해주택에 대한 경·공매(이하 ‘경매’)가 개시되었다는 통지를 받았습니다. 우선매수권을 양도하여 LH가 피해주택을 경·공매(이하 ‘경매’)에서 낙찰받을 경우
경매에 대해서 아는게 없는데 당장 무엇부터 해야 하나요? 무엇을 지원받을 수 있나요?
l 타 채권자가 신청한 경매에서 기한 내 배당요구를 하지 않을 경우에는 경매 배당을 받지 못할 수 l 국 토부 전세사기피해자로 결정받은 임차인은 피해주택에 대한 경매가 개시된 이후 LH에
있습니다. 따라서, 법원으로부터 경매 개시 통지서를 받았다면 반드시 통지서에 기재된 배당요구 우선매수권을 양도할 수 있습니다(단, 선순위 임차인*은 미회수 보증금을 LH가 인수하지 않는 조건으로
종기일까지 법원에 배당요구서를 제출*해야 합니다. 양도 가능). 우선매수권을 양도하여 LH가 피해주택을 낙찰받는 경우에는, LH 감정가* 대비 저렴하게
피해주택을 낙찰받아 발생하는 경매차익을 공공임대 임차료로 지원받거나 주택 퇴거시점에
* 공매의 경우 배분요구종기일까지 공매절차를 진행하는 자산관리공사 관할 지점으로 배분요구서 제출
반환받을 수 있습니다.
l 이 와 관련하여 경매절차 및 권리관계 등 경매 전반에 대하여 법률상담이 필요한 경우, HUG * 선순위 임차인 : 임차인의 대항력 발생일(주택점유 및 전입신고의 다음 날)이 말소기준권리(근저당 등)보다 빠른 임차인으로
경·공매를 통해 보증금을 전액 변제받지 못한 경우, 경·공매 낙찰자가 미변제 보증금 반환의무 승계
전세피해지원센터(서울 강서) 또는 지자체 전세피해지원센터(인천·경기·대전·대구·부산·광주)를 통해
무료 법률상담을 받을 수 있습니다. ** LH감정가 : 감정평가사협회가 추천한 기관 중 LH와 피해자가 각각 선정한 2개의 기관에서 평가한 금액의 평균 금액으로 결정
l 아 울러, 전세사기 특별법에 따른 국토부 전세사기피해자는 경·공매 지원을 통해 배당요구서 제출 등 [ 우선매수권 양도에 따른 경매차익 지원 예시 ]
경매 절차 전반을 대행할 변호사 또는 법무사를 매칭하고 해당 수임료를 지원*하고 있습니다.
• 경매가정 : 전세보증금 2억원, 낙찰금액 1.5억원, LH 감정가 1.8억원
* HUG 70%, KB금융공익재단 30% 부담
• 우선매수권 양도 예시 : 1.8억원 회수(보증금의 90%)
(단위 : 만원)
전세보증금(a) 배당금*(b) 경매차익**(c) 회수금액(d=b+c) 회수율(d/a)
8 전세사기피해자 결정 이전 긴급 경 공매 유예 정지
· ·
20,000 15,000 3,000 18,000 90%
* 낙찰금액(1.5억원) 전액 배당, 경매비용 등은 미반영
아직 국토부 전세사기피해자로 결정받지 못했는데, 경·공매 매각기일이 다가오고 ** LH 감정가(1.8억원)에서 낙찰금액(1.5억원)을 차감한 경매차익(3천만원) 지원
있습니다. ※ 우선매수권 양도에 따른 경매차익 지원효과를 설명하기 위하여 단순화한 예시일 뿐, 포함되지 않은
경매비용 등 기타 미반영 항목에 따라 실제와 차이가 있을 수 있습니다.
",사례/판례/피해상담
912277b2-a797-461f-a187-3081226d29c7,case,50,사례 7,case_7_2,2025전세피해지원사례집.pdf,"l 전 세사기피해자로 결정 받기 이전이라도 긴급한 경우* 관할 광역시·도청 또는 지자체 전세피해 l 피 해주택 등 공공임대 지원을 통해 피해주택(또는 이와 유사한 주택)을 공공임대로 지원받을 경우에는
지원센터(인천·경기·대전·대구·부산·광주)에 내방하여 전세사기피해자 결정 신청과 함께 긴급 경·공매 최초 10년간 경매차익이 없거나 부족하더라도 재정지원을 통해 임차료 부담 없이 공공임대주택에
유예·정지를 신청할 수 있습니다(피해자 결정 신청 이후에도 신청 가능). 거주할 수 있습니다. 이후 추가 거주를 희망할 경우 최대 10년간 시세의 30%~50% 수준으로
* 임차보증금을 반환받지 못하여 생계나 주거안정에 지장을 줄 것이 우려되는 경우 공공임대를 지원받을 수 있으며, 공공임대주택에서 퇴거하는 시점에 경매차익에서 지원받은
공공임대 임차료를 차감한 금원을 반환받을 수 있습니다.
l 긴 급 경·공매 유예·정지 신청이 접수되면 국토부에서 임차인의 주거불안 위험 등 유예·정지
필요성을 검토하여 법원(경매) 또는 지자체(공매)로 진행 중인 경·공매에 대한 유예 및 정지를 l 단 , 경매차익 및 임차료 재정지원의 총합은 임대보증금에서 임차인이 경매 배당 및 보증금반환
요청하게 됩니다. 다만, 유예 및 정지 필요성이 인정되지 않거나, 매각결정기일 이후 접수되어 이미 채권을 통해 회수한 금액을 차감한 보증금 피해금액을 초과할 수 없습니다.
낙찰자가 정해진 경우에는 경·공매절차가 유예·정지되지 않을 수 있습니다.
l 자 세한 문의는 LH 지역본부별 주택매입과 등 관할부서에 상담하여야 합니다.
32 33
전세피해지원 프로그램 및 전세피해 상담 사례집 주요 피해지원 상담",사례/판례/피해상담
740b6438-a443-4c5b-8016-78c0cb173cbe,case,50,사례 10,case_10_1,2025전세피해지원사례집.pdf,"다가구주택 임차인의 우선매수권 양도 11 우선매수권을 양도하지 못한 임차인
(LH가 피해주택을 매입하지 못한 경우 포함)
전세사기피해자가 여럿인 다가구주택 경·공매(이하 ‘경매’)시 우선매수권 양도에 따른
경매차익을 어떻게 지원받을 수 있나요? 전세사기피해자 결정 이전에 경·공매(이하 ‘경매’)가 종료되었거나 LH에서 피해주택 매입
거부(또는 우선매수권 미행사)하여 피해주택에서 퇴거해야 하는 피해자를 위한 공공임대
지원은 없을까요?
l 하 나의 주택에 피해 임차인이 다수인 다가구 주택은 선순위 근저당 존재 여부 및 임차인 간의 배당
순위 및 보증금 크기 등에 따라 피해금액이 달라질 수 있습니다. 이에, 국토부 전세사기피해자로
결정된 임차인 2인 이상으로부터 LH가 우선매수권을 양도받아 다가구주택을 낙찰받은 경우에는
l 국 토부 전세사기피해자로 결정받은 피해자 중 ①전세사기피해자 결정 이전(또는 전세사기 특별법
LH 감정가* 대비 저렴하게 피해주택을 취득하여 발생한 경매차익을 피해 임차인의 보증금
시행 이전)에 경매절차가 종료되었거나, LH에 피해주택에 대한 우선매수권을 양도하고자
피해금액 비율대로 안분하여 지원하고 있습니다.
하였으나 ②LH로부터 사전협의 매입불가 통지를 받은 임차인 및 우선매수권을 양도했음에도
* 감정평가사협회가 추천한 기관 중 LH와 피해자가 각각 선정한 2개의 기관에서 평가한 금액의 평균 금액으로 결정
③LH가 우선매수권을 행사하지 않아 피해주택을 낙찰받지 못한 임차인은 최대 20년간 대체
[ 다가구주택 경매차익 안분 지원 예시 ] 공공임대주택을 지원받을 수 있습니다.
• 경매가정 : LH 감정가 6.5억원, 낙찰가격 5억원, 선순위 근저당 4.5억원(1순위) 임차인 A(2순위), l 대 체 공공임대주택을 지원받을 경우 최초 10년간은 임대료 부담 없이 재정지원을 통해 거주할 수
임차인 B(3순위), 임차인 C(4순위) 전세보증금 각 1억원 있고, 이후 추가 10년간 인근 시세의 30%~50% 수준으로 공공임대를 지원받을 수 있습니다. 단,
• 우선매수권 양도 예시 : 공공임대 임차료 재정지원은 임대보증금에서 임차인이 경매 배당 및 보증금반환채권을 통해 회수한
(단위 : 만원)
금액을 차감한 보증금 피해금액을 초과할 수 없습니다.
임차인 전세보증금(a) 배당금*(b) 피해금액(%) 경매차익**(c) 회수금액(d=b+c) 회수율(d/a)
A 10,000 5,000 5,000(20%) 3,000 8,000 80%
B 10,000 - 10,000(40%) 6,000 6,000 60%
C 10,000 - 10,000(40%) 6,000 6,000 60%
* 낙찰금액(5억원)을 배당순위에 따라 근저당(1순위) 4.5억원, 임차인 A(2순위) 5천만원 배당, 경매비용 등은 미반영
** LH 감정가(6.5억원)에서 낙찰금액(5억원)을 차감한 경매차익(1.5억원)을 임차인 피해금액 비율대로 안분 지원
※ 우선매수권 양도에 따른 경매차익 지원효과를 설명하기 위하여 단순화한 예시일 뿐, 포함되지 않은
경매비용 등 기타 미반영 항목에 ",사례/판례/피해상담
a4496a7a-7ddd-49ef-bb81-6cfb08269357,case,50,사례 10,case_10_2,2025전세피해지원사례집.pdf,"따라 실제와 차이가 있을 수 있습니다.
l 보 증금 피해금액 비율대로 안분한 각 임차인의 경매차익은 주택 퇴거 시점에 LH로부터 반환받을 수
있으며, 피해주택 등 공공임대 지원을 통해 피해주택(또는 이와 유사한 주택)을 공공임대로 지원(최대
20년)받을 경우에는 경매차익으로 공공임대 임차료를 지원(최초 10년간은 경매차익 부족시 추가
재정지원으로 무상거주)하고, 퇴거하는 시점에 경매차익에서 지원받은 공공임대 임차료를 차감한
금원을 반환받을 수 있습니다.
l 단 , 경매차익 및 임차료 재정지원의 총합은 임대보증금에서 임차인이 경매 배당 및 보증금반환
채권을 통해 회수한 금액을 차감한 보증금 피해금액을 초과할 수 없습니다.
34 35
전세피해지원 프로그램 및 전세피해 상담 사례집 주요 피해지원 상담",사례/판례/피해상담
ee47927b-7c25-4099-abca-91aa1092e9d9,case,50,사례 12,case_12_1,2025전세피해지원사례집.pdf,"신탁사기 피해주택 거주 지원 13 배당금이 부족한 선순위 임차인
이사 온 지 얼마 되지 않아 신탁사로부터 공매 예정이니 퇴거해야 한다는 통지를 다른 사람이 전세피해 주택을 낙찰받았는데 경·공매(이하 ‘경매’) 배당금이 보증금보다
받았습니다. 피해주택에 계속 거주하기 위한 지원은 없나요? 적습니다. 부족한 보증금을 회수할 방법이 있을까요?
l 신 탁사(수탁자)의 동의 없이 임대권한이 없는 자(위탁자 등)와 임대차계약을 체결한 신탁사기 l 선 순위 임차인*에 대한 보증금 반환의무는 경매 매수인에게 승계되므로 배당금이 보증금보다
피해자는 전세사기 특별법에 따른 전세사기피해자등 다목으로 결정받을 경우 LH에 신탁사기 적을 경우에는 경매 낙찰자에게 미회수한 보증금을 청구할 수 있습니다. 보증금 반환의무 승계
피해주택 매입을 요청할 수 있습니다. 이에 LH가 공매 절차에서 피해주택을 매입할 경우, 여부 및 기타 경매 관련 법률상담이 필요한 경우, HUG 전세피해지원센터(서울 강서) 또는 지자체
최대 20년간 피해주택(또는 이와 유사한 수준의 주택)을 공공임대주택으로 지원받을 수 있고 전세피해지원센터(인천·경기·대전·대구·부산·광주)를 통해 무료 법률상담을 받을 수 있습니다.
공매차익(LH감정가* – 매입가)이 발생할 경우 차액을 공공임대 임차료로 지원** 받을 수 있습니다.
* 선순위 임차인 : 임차인의 대항력 발생일(점유 및 전입신고의 다음날)이 말소기준권리(근저당권 등)보다 빠른 임차인으로
* 감정평가사협회가 추천한 기관 중 LH와 피해자가 각각 선정한 2개의 기관에서 평가한 금액의 평균 금액으로 결정 보증금 전액을 배당받지 못할 경우 낙찰자가 미변제 보증금 반환의무 승계
** 최초 10년간은 공매차익이 없거나 부족할 경우 재정지원을 통해 무상거주가 가능하며, 퇴거 시점에 공공임대 임차료를
차감한 잔여 공매차익이 있을 경우에는 LH로부터 반환받을 수 있습니다.
14 배당금이 부족한 후순위 임차인
l 아 울러, LH가 피해주택 매입에 실패하거나, 매입을 요청하기 이전에 이미 피해주택에 대한
공매절차가 종료된 전세사기피해자 다목 신탁사기 피해자에게는 최대 20년간 대체 공공임대
주택을 지원하고 있습니다. 대체 공공임대 지원을 받을 경우 최초 10년간은 임차료 부담 없이
다른 사람이 전세피해 주택을 낙찰받았는데 경·공매(이하 ‘경매’) 배당금이 보증금보다
재정지원을 받아 거주할 수 있고, 추가 10년간은 주변 시세의 30%~50% 수준으로 공공임대
지원을 받을 수 있습니다. 적습니다. 부족한 보증금을 회수할 방법이 있을까요?
l 단 , 공매차익 및 임차료 재정지원의 총합은 임대보증금에서 임차인이 공매 배당 및 보증금반환
채권을 통해 회수한 금액을 차감한 보증금 피해금액을 초과할 수 없습니다.
l 대 항력이 없는 후순위 임차인*은 보증금 대비 배당금이 부족하더라도 손실금액을 경매 낙찰자에게
청구할 수 없고, 임대인으로부터 부족한 보증금을 회수해야 합니다. 국토부 전세사기피해자(나목,
다목 포함) 또는 HUG 전세피해확인서를 발급받은 임차인은 소득에 따",사례/판례/피해상담
