article,category,question,answer,retrieved_docs,top_source,top_article,timestamp
제3조,보증금_대항력,"전입신고랑 확정일자는 했는데, 확정일자부에 뭐가 어떻게 적혀 있는지까지 확인해야 하나요?","### 결론
네, 확정일자부에 기재된 내용을 확인하는 것이 중요합니다. 확정일자부에 잘못된 정보가 기재되어 있으면 임차인의 권리가 제대로 보호받지 못할 수 있습니다.

### 법적 근거
1. **주택임대차보호법 제3조의6**: 확정일자는 임차인이 우선변제권을 확보하기 위한 중요한 절차입니다. 확정일자가 부여된 계약증서는 임차인의 권리를 보호하는 데 필수적입니다.
2. **주택임대차계약증서상의 확정일자 부여 및 임대차 정보제공에 관한 규칙 제4조**: 계약증서에 정정된 부분이 있는 경우, 그 부분에 계약당사자의 서명이나 날인이 필요하며, 확정일자가 부여된 계약증서에 새로운 내용을 추가 기재할 경우에도 주의가 필요합니다.

### 해결방안
1. **확정일자부 확인**: 확정일자부에 기재된 내용이 정확한지 확인하세요. 특히, 임대차 계약서의 내용과 일치하는지, 정정된 부분이 있는 경우 서명이나 날인이 되어 있는지 확인해야 합니다.
   
2. **계약서와 비교**: 임대차 계약서와 확정일자부의 내용을 비교하여 불일치하는 부분이 없는지 확인하세요. 불일치가 있을 경우, 즉시 임대인과 상의하여 수정해야 합니다.

3. **법률 상담**: 확정일자부에 문제가 있거나 불확실한 부분이 있을 경우, 법률 전문가와 상담하여 적절한 조치를 취하세요.

4. **계속적인 대항력 유지**: 대항력은 주택의 인도와 주민등록이 계속 유지되어야 합니다. 전출 시 대항력이 소멸되므로, 이 점을 유의하세요.

### 경고
확정일자부에 잘못된 정보가 기재되어 있으면, 임차인의 우선변제권이 제대로 보호받지 못할 수 있습니다. 따라서, 확정일자부의 내용을 반드시 확인하고, 문제가 있을 경우 즉시 조치해야 합니다.",14,주택임대차계약증서상의 확정일자 부여 및 임대차 정보제공에 관한 규칙(법무부령)(제01022호)(20220207),제1조,2026-01-20T16:52:44.948862
제4조,계약갱신,"계약서에 1년만 살기로 써 있는데, 1년 지나면 무조건 나가야 하는 건가요?","**결론:** 계약서에 1년으로 명시되어 있더라도, 임차인은 2년의 임대차 기간을 주장할 수 있습니다. 따라서 1년이 지나도 임대차 계약을 갱신하여 계속 거주할 수 있습니다.

**법적 근거:** 주택임대차보호법 제6조의3에 따르면, 임차인은 임대차 계약의 갱신을 요구할 수 있으며, 임대인은 정당한 사유 없이 이를 거절할 수 없습니다. 또한, 주택임대차보호법에 따라 임대차 기간이 2년 미만으로 정해진 경우에도 임차인은 2년의 임대차 기간을 주장할 수 있습니다.

**해결방안:**
1. **계약 갱신 요구:** 임대차 계약 만료 1개월 전까지 임대인에게 계약 갱신을 요구하는 서면 통지를 보내세요. 이는 임대차보호법에 따라 임차인의 권리입니다.
   
2. **임대인의 거절 사유 확인:** 임대인이 갱신을 거절할 경우, 주택임대차보호법 제6조의3에 명시된 정당한 사유(예: 2기의 차임 연체 등)가 있는지 확인하세요. 정당한 사유가 없다면, 임대인은 갱신을 거절할 수 없습니다.

3. **법적 조치 고려:** 임대인이 부당하게 갱신을 거절할 경우, 법적 조치를 고려할 수 있습니다. 이 경우, 주택임대차분쟁조정위원회에 조정을 신청하거나 법원에 소송을 제기할 수 있습니다.

**경고:** 임대인이 정당한 사유 없이 갱신을 거절할 경우, 법적 대응이 필요할 수 있으므로, 관련 서류와 증거를 잘 보관하시기 바랍니다.",14,주택임대차보호법(법률),제3조의7,2026-01-20T16:52:54.334183
제5조,계약해지,"제가 잠깐 해외에 나가는데, 그동안 친구가 대신 살아도 된다고 집주인이랑 말로만 얘기했어요. 문제 될 수 있나요?","### 결론
임대인의 동의 없이 임차 주택을 제3자에게 제공하는 것은 문제가 될 수 있습니다. 이는 임대차 계약의 위반으로 간주될 수 있으며, 임대인은 이를 이유로 계약 갱신을 거절할 수 있습니다.

### 법적 근거
- **주택임대차보호법 제6조의3(계약갱신 요구 등) 제1항**에 따르면, 임차인이 임대인의 동의 없이 목적 주택의 전부를 제3자에게 제공하는 경우, 임대인은 계약 갱신을 거절할 수 있습니다.

### 해결 방안
1. **임대인의 서면 동의 받기**: 임대인에게 친구가 임시로 거주할 것에 대한 서면 동의를 받으세요. 이는 추후 발생할 수 있는 법적 분쟁을 예방하는 데 도움이 됩니다.
   
2. **임대차 계약서 검토**: 계약서에 제3자 거주에 관한 조항이 있는지 확인하세요. 만약 명시된 조항이 있다면 이를 준수해야 합니다.

3. **임대인과의 소통 유지**: 임대인과 지속적으로 소통하여 상황을 명확히 하고, 오해가 없도록 하세요.

4. **법률 상담**: 상황이 복잡하거나 임대인이 동의를 거부하는 경우, 법률 전문가와 상담하여 적절한 조치를 취하세요.

### 경고
임대인의 동의 없이 제3자가 거주할 경우, 임대인은 이를 이유로 계약 갱신을 거절할 수 있으며, 이는 임차인에게 불리한 결과를 초래할 수 있습니다. 반드시 임대인의 명시적인 동의를 받도록 하세요.",14,주택임대차보호법(법률),제6조의3,2026-01-20T16:53:04.403787
제6조,계약갱신,"계약 끝날 때까지 집주인이 아무 말 안 했는데, 이거 자동으로 연장된 건가요?","### 결론
계약이 끝날 때까지 집주인이 아무 말도 하지 않았다면, 임차인은 계약갱신을 요구할 수 있으며, 특별한 사유가 없는 한 계약은 자동으로 연장됩니다.

### 법적 근거
1. **주택임대차보호법 제6조의3(계약갱신 요구 등)**에 따르면, 임차인은 임대차 계약 기간이 끝나기 전 계약갱신을 요구할 수 있으며, 임대인은 정당한 사유 없이 이를 거절할 수 없습니다. 다만, 임차인이 2기의 차임액을 연체하거나, 임대인의 동의 없이 주택을 전대하는 등의 사유가 있는 경우에는 예외가 적용됩니다.

### 해결방안
1. **계약갱신 요구**: 임차인은 계약 만료 6개월 전부터 1개월 전까지 계약갱신을 요구할 수 있습니다. 이 요구는 서면으로 하는 것이 좋습니다.
   
2. **임대인의 대응 확인**: 임대인이 계약갱신 요구에 대해 아무런 대응을 하지 않는다면, 계약은 자동으로 갱신됩니다. 이 경우, 기존의 계약 조건이 그대로 유지됩니다.

3. **확정일자 받기**: 계약이 갱신되었다면, 임차인은 새로운 계약서에 확정일자를 받아 두는 것이 좋습니다. 이는 임차인의 권리를 보호하는 데 중요한 역할을 합니다. 확정일자는 법원이나 주민센터에서 받을 수 있으며, 수수료가 부과됩니다(주택임대차보호법 제3조의7).

4. **임대인의 거절 사유 확인**: 만약 임대인이 계약갱신을 거절한다면, 그 사유가 정당한지 확인해야 합니다. 정당한 사유가 없는 경우, 임차인은 법적 조치를 고려할 수 있습니다.

### 경고
- **차임 연체 주의**: 임차인이 2기의 차임액을 연체한 경우, 임대인은 계약갱신을 거절할 수 있습니다. 따라서 차임을 제때 납부하는 것이 중요합니다.
- **임대인의 동의 없는 전대 금지**: 임대인의 동의 없이 주택을 전대하는 경우에도 계약갱신이 거절될 수 있으니 주의해야 합니다.",14,주택임대차보호법(법률),제3조의7,2026-01-20T16:53:16.550255
제6조의2,계약해지,계약이 그냥 연장된 줄 모르고 살고 있었는데요. 제가 갑자기 이사 가야 하면 언제까지 살아야 하나요?,"### 결론
임차인이 계약이 연장된 사실을 모르고 있었더라도, 임대차 계약이 자동으로 갱신된 경우에는 임차인은 계약을 해지할 수 있습니다. 이 경우, 임차인은 임대인에게 해지 통보를 한 후 3개월이 지나면 계약이 종료됩니다.

### 법적 근거
1. **주택임대차보호법 제6조의3(계약갱신 요구 등)**에 따르면, 임대차 계약은 특별한 사유가 없는 한 자동으로 갱신됩니다. 임차인은 계약 갱신 사실을 모르고 있었더라도 계약을 해지할 수 있는 권리가 있습니다.
2. **주택임대차보호법 제6조(계약의 해지)**에 따르면, 임차인은 임대인에게 계약 해지를 통보한 후 3개월이 지나면 계약이 종료됩니다.

### 해결 방안
1. **임대인에게 해지 통보**: 임차인은 임대인에게 서면으로 계약 해지를 통보해야 합니다. 이때, 내용증명 우편을 통해 통보하는 것이 좋습니다. 이는 추후 법적 분쟁 시 증거로 활용될 수 있습니다.
   
2. **3개월 대기**: 해지 통보 후 3개월이 지나면 계약이 종료되므로, 이 기간 동안 새로운 거주지를 준비해야 합니다.

3. **이사 준비**: 3개월의 기간 동안 새로운 주거지를 찾고, 이사 준비를 합니다. 이사 날짜를 임대인과 조율하여 원활한 이사가 이루어질 수 있도록 합니다.

4. **보증금 반환**: 계약 종료 시 임대인에게 보증금 반환을 요청합니다. 만약 임대인이 보증금 반환을 거부할 경우, 법적 절차를 통해 해결해야 할 수 있습니다.

### 경고
- **보증금 반환 문제**: 임대인이 보증금 반환을 거부할 경우, 임차권등기명령을 통해 법적 보호를 받을 수 있습니다. 이는 임대차 종료와 보증금 미반환이라는 두 가지 요건이 충족되어야 합니다.
- **임대인의 동의 없이 이사할 경우**: 임대인의 동의 없이 임의로 이사할 경우, 법적 분쟁이 발생할 수 있으므로 반드시 해지 통보 후 3개월을 기다려야 합니다.

이러한 절차를 통해 임차인은 법적으로 보호받으며 계약을 종료할 수 있습니다.",14,주택임대차보호법(법률),제3조의7,2026-01-20T16:53:27.957530
제6조의3,계약갱신,"집주인이 실거주한다고 갱신 거절했는데요. 나중에 실제로 안 살면, 제가 그 기록 같은 걸 확인할 수 있나요?","### 결론
집주인이 실거주를 이유로 임대차 계약 갱신을 거절했으나 실제로 거주하지 않는 경우, 임차인은 법적 조치를 통해 이를 확인하고 대응할 수 있습니다.

### 법적 근거
1. **주택임대차보호법 제6조의3**에 따르면, 임대인은 정당한 사유 없이 임차인의 계약갱신 요구를 거절할 수 없습니다. 실거주 목적은 정당한 사유에 해당하지만, 이를 위반할 경우 임차인은 법적 조치를 취할 수 있습니다.
2. **주택임대차보호법 제3조의3**에 따라 임차권등기명령을 신청하여 임대차 종료 후 보증금 반환을 보장받을 수 있습니다.

### 해결방안
1. **증거 수집**: 집주인이 실제로 거주하지 않는다는 증거를 수집하세요. 예를 들어, 해당 주택의 전기, 수도, 가스 사용 내역이나 주변 이웃의 증언 등을 확보할 수 있습니다.
   
2. **법적 조치**:
   - **임차권등기명령 신청**: 임대차가 종료된 후 보증금 반환이 이루어지지 않을 경우, 임차권등기명령을 통해 보증금 반환을 보장받을 수 있습니다. 이는 주택임대차보호법 제3조의3에 근거합니다.
   - **손해배상 청구**: 집주인이 실거주 이유로 계약 갱신을 거절했으나 실제로 거주하지 않은 경우, 손해배상을 청구할 수 있습니다. 이를 위해서는 법원에 소송을 제기해야 하며, 앞서 수집한 증거가 필요합니다.

3. **법률 상담**: 변호사와 상담하여 구체적인 법적 절차와 전략을 수립하세요. 변호사는 법적 문서 작성과 소송 절차를 도와줄 수 있습니다.

### 경고
- **증거 부족**: 집주인이 실제로 거주하지 않는다는 명확한 증거가 부족할 경우, 법적 조치가 어려울 수 있습니다. 따라서 증거 수집에 신중을 기해야 합니다.
- **법적 비용**: 소송을 진행할 경우 법적 비용이 발생할 수 있으므로, 비용 대비 효과를 고려하여 신중히 결정해야 합니다.",14,주택임대차보호법(법률),제6조의3,2026-01-20T16:53:38.932737
제7조,임대료_증감,"재계약하면서 월세를 한 번에 많이 올리자고 하는데, 집주인이 정하는 대로 따라야 하나요? 그리고 월세를 올린 지 6개월밖에 안 됐는데 또 올리자고 해요.","### 결론
임대인은 임대차계약이 종료된 후 재계약을 할 때 월세를 자유롭게 조정할 수 있습니다. 그러나 임대차계약이 유지되는 동안에는 월세를 1년에 한 번만 올릴 수 있으며, 그 인상폭은 기존 월세의 5%를 초과할 수 없습니다.

### 법적 근거
1. **주택임대차보호법 제7조**에 따르면, 임대차계약이 유지되는 동안 월세 증액은 1년에 한 번만 가능하며, 증액폭은 기존 월세의 5%를 초과할 수 없습니다.
2. **주택임대차보호법 시행령 제8조**에 따르면, 월세 증액은 약정한 차임의 20분의 1(즉, 5%)을 초과할 수 없습니다.

### 해결방안
1. **현재 계약 상태 확인**: 현재 임대차계약이 종료되었는지, 아니면 유지 중인지 확인하세요. 계약이 종료된 경우, 재계약 시 임대인은 월세를 자유롭게 조정할 수 있습니다.
   
2. **월세 인상 제한 확인**: 만약 계약이 유지 중이라면, 월세 인상은 1년에 한 번만 가능하며, 그 인상폭은 기존 월세의 5%를 초과할 수 없습니다. 따라서 6개월 만에 월세를 다시 올리려는 것은 법적으로 허용되지 않습니다.

3. **임대인과 협상**: 임대차계약이 종료된 경우, 임대인과 협상하여 합리적인 월세 인상안을 제시해보세요. 임대차계약이 유지 중이라면, 법적 근거를 바탕으로 임대인에게 월세 인상 제한을 설명하고 협상을 시도하세요.

4. **법적 조치 고려**: 임대인이 법적 제한을 무시하고 월세 인상을 강행하려 한다면, 주택임대차보호법에 따라 법적 조치를 고려할 수 있습니다. 이 경우, 전문 변호사와 상담하여 구체적인 법적 대응 방안을 마련하세요.

### 경고
임대차계약이 종료된 후 재계약 시에는 임대인이 월세를 자유롭게 조정할 수 있으므로, 임차인은 재계약 조건을 신중히 검토하고 협상에 임해야 합니다.",14,주택임대차보호법(법률),제6조의3,2026-01-20T16:53:49.076869
제7조의2,임대료_증감,"보증금 줄여주는 대신 월세로 바꾸자는데, 월세를 너무 많이 받으려고 해요. 기준 같은 게 있나요?","### 결론:
임대인이 보증금을 줄이는 대신 월세를 과도하게 올리려는 경우, 법적으로 허용되는 범위 내에서만 증액이 가능합니다. 법적으로 정해진 기준을 초과하는 월세 증액은 불법이며, 이를 초과한 금액에 대해서는 반환을 청구할 수 있습니다.

### 법적 근거:
1. **주택임대차보호법 제7조**에 따르면, 차임이나 보증금의 증액은 경제사정의 변동 등으로 인해 적절하지 않게 된 경우에만 가능합니다.
2. **주택임대차보호법 시행령 제8조**에 의하면, 차임 등의 증액청구는 기존 차임의 5%를 초과할 수 없습니다. 또한, 증액청구는 임대차계약 또는 약정한 차임 등의 증액이 있은 후 1년 이내에는 할 수 없습니다.
3. **주택임대차보호법 제10조의2**에 따르면, 임차인은 법정 증액비율을 초과하여 지급한 차임에 대해 반환을 청구할 수 있습니다.

### 해결 방안:
1. **계약서 확인**: 현재 임대차계약서에 명시된 보증금과 월세 금액을 확인하세요. 이를 통해 임대인이 제안하는 변경 사항이 법적 기준을 초과하는지 판단할 수 있습니다.
   
2. **법적 기준 검토**: 임대인이 제안한 월세 증액이 기존 월세의 5%를 초과하는지 확인하세요. 초과하는 경우, 이는 불법입니다.

3. **임대인과 협상**: 임대인에게 법적 기준을 설명하고, 합리적인 수준에서 월세를 조정할 것을 요청하세요. 법적 기준을 초과하는 증액은 불법임을 강조하세요.

4. **법적 조치 고려**: 임대인이 법적 기준을 초과하는 월세를 강요할 경우, 주택임대차보호법 제10조의2에 따라 초과 지급된 금액의 반환을 청구할 수 있습니다. 필요시 법률 전문가의 도움을 받아 소송을 고려하세요.

5. **법률 상담**: 상황이 복잡하거나 임대인이 협상에 응하지 않을 경우, 주택임대차 관련 전문 변호사와 상담하여 추가적인 법적 조치를 취하세요.

### 경고:
임대인이 법적 기준을 무시하고 월세를 과도하게 올리려는 경우, 이를 수용하면 초과 지급된 금액을 돌려받기 어려울 수 있습니다. 따라서 법적 기준을 준수하는 것이 중요합니다.",14,주택임대차보호법 시행령(대통령령)(제35947호)(20260102),제7조,2026-01-20T16:54:03.781924
제8조,보증금_대항력,"집이 경매로 넘어간다고 들었어요. 저는 보증금이 크진 않은데, 일부라도 먼저 받을 수 있나요?","### 결론:
임차인은 경매 절차에서 보증금을 일부라도 우선 변제받을 수 있습니다. 다만, 이를 위해서는 몇 가지 조건을 충족해야 합니다.

### 법적 근거:
1. **주택임대차보호법 제3조**에 따르면, 임차인은 임대차계약증서에 확정일자를 갖추고 대항요건을 충족한 경우, 경매 시 후순위권리자보다 우선하여 보증금을 변제받을 권리가 있습니다.
2. **주택임대차보호법 제3조의4**에 의하면, 임차권등기명령을 통해 임차권을 등기할 수 있으며, 이 경우 임차인은 경매 절차에서 우선변제권을 확보할 수 있습니다.

### 해결 방안:
1. **확정일자 확인**: 임대차계약서에 확정일자가 있는지 확인하세요. 확정일자는 임차인이 보증금을 우선 변제받기 위한 필수 조건입니다.
   - 확정일자가 없다면, 즉시 관할 등기소나 주민센터에서 확정일자를 받으세요.

2. **대항요건 충족**: 임차주택에 실제 거주하고 있는지 확인하세요. 이는 대항력을 갖추기 위한 필수 조건입니다.

3. **임차권등기명령 신청**: 경매 절차가 진행 중이라면, 임차권등기명령을 신청하여 임차권을 등기하세요.
   - 임차권등기명령은 법원에 신청하며, 이를 통해 경매 시 우선변제권을 확보할 수 있습니다.

4. **경매 절차 참여**: 경매 절차에 적극 참여하여 자신의 권리를 주장하세요.
   - 경매 절차에 대한 정보는 법원 경매 사이트나 담당 법원에서 확인할 수 있습니다.

5. **법률 상담**: 상황이 복잡하거나 이해가 어려운 경우, 전문 변호사와 상담하여 구체적인 조언을 받는 것이 좋습니다.

### 경고:
- 확정일자와 대항요건을 갖추지 못한 경우, 보증금을 우선 변제받지 못할 수 있습니다. 이 경우 다른 채권자보다 후순위로 밀려 보증금을 전혀 돌려받지 못할 위험이 있습니다.
- 경매 절차는 복잡할 수 있으므로, 법률 전문가의 도움을 받는 것이 중요합니다.",14,주택임대차보호법(법률),제3조,2026-01-20T16:54:15.764949
제10조,권리_리스크,"계약서에 '집주인이 원하면 언제든 나가야 한다'고 써 있는데, 제가 사인했으면 무조건 지켜야 하나요?","### 결론
계약서에 '집주인이 원하면 언제든 나가야 한다'고 명시되어 있더라도, 이는 법적으로 효력이 없습니다. 임차인은 법적으로 보호받으며, 임대인은 정당한 사유 없이 임차인을 퇴거시킬 수 없습니다.

### 법적 근거
1. **주택임대차보호법 제6조의3(계약갱신 요구 등)**: 임차인은 계약 갱신을 요구할 수 있으며, 임대인은 정당한 사유 없이 이를 거절할 수 없습니다. 정당한 사유는 주로 임차인의 차임 연체, 부정한 방법으로 임차한 경우 등으로 제한됩니다.
2. **주택임대차보호법 제3조의3(임차권등기명령)**: 임대차가 종료된 후에도 보증금이 반환되지 않으면 임차인은 임차권등기명령을 신청할 수 있어 임대인의 부당한 퇴거 요구에 대응할 수 있습니다.

### 해결방안
1. **계약서 검토**: 계약서에 명시된 조항이 법적으로 유효한지 검토합니다. '집주인이 원하면 언제든 나가야 한다'는 조항은 법적 효력이 없으므로 무시할 수 있습니다.
2. **임대인과 협의**: 임대인에게 해당 조항이 법적으로 효력이 없음을 설명하고, 계약 갱신이나 임대차 조건에 대해 협의합니다.
3. **법적 조치 준비**: 임대인이 부당하게 퇴거를 요구할 경우, 주택임대차보호법에 따라 법적 조치를 준비합니다. 필요시 임차권등기명령을 신청하여 임차권을 보호받을 수 있습니다.
4. **법률 상담**: 상황이 복잡하거나 임대인이 계속해서 부당한 요구를 할 경우, 전문 변호사와 상담하여 법적 대응을 준비합니다.

### 경고
임대인이 정당한 사유 없이 퇴거를 요구할 경우, 이를 따를 필요가 없습니다. 그러나 임차인이 차임을 연체하거나 계약 조건을 위반한 경우, 임대인은 정당한 사유로 퇴거를 요구할 수 있으므로 주의해야 합니다.",14,주택임대차보호법(법률),제6조의3,2026-01-20T16:54:27.660671
