id,category,priority,article,chunk_id,source,text,law_type
ea20858b-3e6b-4fab-b297-a185d0f34d1f,law,4,제390조,본문,민법(법률)(제20432호)(20260101)-간략.docx,"(채무불이행과 손해배상) 채무자가 채무의 내용에 좇은 이행을 하지 아니한 때에는 채권자는 손해배상을 청구할 수 있다. 그러나 채무자의 고의나 과실없이 이행할 수 없게 된 때에는 그러하지 아니하다.
제2장 계약
제6절 사용대차",민법
767cb115-6be6-441b-a624-0de4fdd5d05d,law,4,제618조,본문,민법(법률)(제20432호)(20260101)-간략.docx,"(임대차의 의의) 임대차는 당사자 일방이 상대방에게 목적물을 사용, 수익하게 할 것을 약정하고 상대방이 이에 대하여 차임을 지급할 것을 약정함으로써 그 효력이 생긴다.",민법
1bb029e6-f430-4d8e-8777-f93e7ac57c90,law,4,제619조,본문,민법(법률)(제20432호)(20260101)-간략.docx,"(처분능력, 권한없는 자의 할 수 있는 단기임대차) 처분의 능력 또는 권한없는 자가 임대차를 하는 경우에는 그 임대차는 다음 각호의 기간을 넘지 못한다.
1. 식목, 채염 또는 석조, 석회조, 연와조 및 이와 유사한 건축을 목적으로 한 토지의 임대차는 10년
2. 기타 토지의 임대차는 5년
3. 건물 기타 공작물의 임대차는 3년
4. 동산의 임대차는 6월",민법
1527dfbd-1069-40d6-b206-3f4f7985d08a,law,4,제620조,본문,민법(법률)(제20432호)(20260101)-간략.docx,"(단기임대차의 갱신) 전조의 기간은 갱신할 수 있다. 그러나 그 기간만료전 토지에 대하여는 1년, 건물 기타 공작물에 대하여는 3월, 동산에 대하여는 1월내에 갱신하여야 한다.",민법
7ae030d2-7ccd-4f6f-8670-f39c63379a9b,law,4,제621조,항①,민법(법률)(제20432호)(20260101)-간략.docx,부동산임차인은 당사자간에 반대약정이 없으면 임대인에 대하여 그 임대차등기절차에 협력할 것을 청구할 수 있다.,민법
549a9a4d-8149-4920-bbf4-d217a639bddd,law,4,제621조,항②,민법(법률)(제20432호)(20260101)-간략.docx,부동산임대차를 등기한 때에는 그때부터 제삼자에 대하여 효력이 생긴다.,민법
eb6f44c1-ef9c-42ff-8736-943987c5b4e3,law,4,제622조,항①,민법(법률)(제20432호)(20260101)-간략.docx,건물의 소유를 목적으로 한 토지임대차는 이를 등기하지 아니한 경우에도 임차인이 그 지상건물을 등기한 때에는 제삼자에 대하여 임대차의 효력이 생긴다.,민법
617be568-382f-4f32-97ff-0e6a201a49b1,law,4,제622조,항②,민법(법률)(제20432호)(20260101)-간략.docx,건물이 임대차기간만료전에 멸실 또는 후폐한 때에는 전항의 효력을 잃는다.,민법
50dd7b5f-fdb1-4159-a20d-00034466302a,law,4,제623조,본문,민법(법률)(제20432호)(20260101)-간략.docx,"(임대인의 의무) 임대인은 목적물을 임차인에게 인도하고 계약존속중 그 사용, 수익에 필요한 상태를 유지하게 할 의무를 부담한다.",민법
7cd10adf-88e0-4015-97b4-9ef6f3c2feac,law,4,제624조,본문,민법(법률)(제20432호)(20260101)-간략.docx,"(임대인의 보존행위, 인용의무) 임대인이 임대물의 보존에 필요한 행위를 하는 때에는 임차인은 이를 거절하지 못한다.",민법
b600098c-0d0a-4a76-9e8e-d587e6f51432,law,4,제625조,본문,민법(법률)(제20432호)(20260101)-간략.docx,(임차인의 의사에 반하는 보존행위와 해지권) 임대인이 임차인의 의사에 반하여 보존행위를 하는 경우에 임차인이 이로 인하여 임차의 목적을 달성할 수 없는 때에는 계약을 해지할 수 있다.,민법
eeb88a9c-be07-4371-9f84-cd062d39eb0d,law,4,제626조,항①,민법(법률)(제20432호)(20260101)-간략.docx,임차인이 임차물의 보존에 관한 필요비를 지출한 때에는 임대인에 대하여 그 상환을 청구할 수 있다.,민법
