id,content,law_family,law_name,law_type,article,article_title,priority,effective_date,source_file,parsed_at
a5c203ba-3e1a-4610-93c2-7375b63c2dac,채무자가 채무의 내용에 좇은 이행을 하지 아니한 때에는 채권자는 손해배상을 청구할 수 있다. 그러나 채무자의 고의나 과실없이 이행할 수 없게 된 때에는 그러하지 아니하다. 제2장 계약 제6절 사용대차,주택임대차,민법,일반법,제390조,채무불이행과 손해배상,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.189133
c0d90d9e-8c82-4cbe-9583-9f9c93ba9c27,차주가 차용물을 반환하는 때에는 이를 원상에 회복하여야 한다. 이에 부속시킨 물건은 철거할 수 있다. 제7절 임대차,주택임대차,민법,일반법,제615조,차주의 원상회복의무와 철거권,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.190136
6bc76b67-90cc-44e3-bcd1-81f0dd61f8e4,"임대차는 당사자 일방이 상대방에게 목적물을 사용, 수익하게 할 것을 약정하고 상대방이 이에 대하여 차임을 지급할 것을 약정함으로써 그 효력이 생긴다.",주택임대차,민법,일반법,제618조,임대차의 의의,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.192133
5879b01f-bcde-4a13-8445-973cd8eb445e,"처분의 능력 또는 권한없는 자가 임대차를 하는 경우에는 그 임대차는 다음 각호의 기간을 넘지 못한다. 1. 식목, 채염 또는 석조, 석회조, 연와조 및 이와 유사한 건축을 목적으로 한 토지의 임대차는 10년 2. 기타 토지의 임대차는 5년 3. 건물 기타 공작물의 임대차는 3년 4. 동산의 임대차는 6월",주택임대차,민법,일반법,제619조,"처분능력, 권한없는 자의 할 수 있는 단기임대차",10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.194133
5c8f27b2-12a2-4b37-a563-fbc33198ca67,"전조의 기간은 갱신할 수 있다. 그러나 그 기간만료전 토지에 대하여는 1년, 건물 기타 공작물에 대하여는 3월, 동산에 대하여는 1월내에 갱신하여야 한다.",주택임대차,민법,일반법,제620조,단기임대차의 갱신,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.195141
75710f5c-8657-4fda-a46e-033ec6720aa4,①부동산임차인은 당사자간에 반대약정이 없으면 임대인에 대하여 그 임대차등기절차에 협력할 것을 청구할 수 있다. ②부동산임대차를 등기한 때에는 그때부터 제삼자에 대하여 효력이 생긴다.,주택임대차,민법,일반법,제621조,임대차의 등기,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.197100
940249c9-a03a-4814-93e3-eaadd5622e40,①건물의 소유를 목적으로 한 토지임대차는 이를 등기하지 아니한 경우에도 임차인이 그 지상건물을 등기한 때에는 제삼자에 대하여 임대차의 효력이 생긴다. ②건물이 임대차기간만료전에 멸실 또는 후폐한 때에는 전항의 효력을 잃는다.,주택임대차,민법,일반법,제622조,건물등기있는 차지권의 대항력,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.198099
5e654a0b-5c09-4fdc-8bf8-317256286163,"임대인은 목적물을 임차인에게 인도하고 계약존속중 그 사용, 수익에 필요한 상태를 유지하게 할 의무를 부담한다.",주택임대차,민법,일반법,제623조,임대인의 의무,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.199137
a245b173-f1af-429a-afec-8416819a1a97,임대인이 임대물의 보존에 필요한 행위를 하는 때에는 임차인은 이를 거절하지 못한다.,주택임대차,민법,일반법,제624조,"임대인의 보존행위, 인용의무",10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.201188
8fb40ace-ceba-4d4c-b36b-7b2d5b0d5f7b,임대인이 임차인의 의사에 반하여 보존행위를 하는 경우에 임차인이 이로 인하여 임차의 목적을 달성할 수 없는 때에는 계약을 해지할 수 있다.,주택임대차,민법,일반법,제625조,임차인의 의사에 반하는 보존행위와 해지권,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.202181
611fe017-1667-4e37-b735-13e95e47536a,①임차인이 임차물의 보존에 관한 필요비를 지출한 때에는 임대인에 대하여 그 상환을 청구할 수 있다. ②임차인이 유익비를 지출한 경우에는 임대인은 임대차종료시에 그 가액의 증가가 현존한 때에 한하여 임차인의 지출한 금액이나 그 증가액을 상환하여야 한다. 이 경우에 법원은 임대인의 청구에 의하여 상당한 상환기간을 허여할 수 있다.,주택임대차,민법,일반법,제626조,임차인의 상환청구권,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.204182
504602e2-4ab2-4840-9758-94e240e61fde,"①임차물의 일부가 임차인의 과실없이 멸실 기타 사유로 인하여 사용, 수익할 수 없는 때에는 임차인은 그 부분의 비율에 의한 차임의 감액을 청구할 수 있다. ②전항의 경우에 그 잔존부분으로 임차의 목적을 달성할 수 없는 때에는 임차인은 계약을 해지할 수 있다.",주택임대차,민법,일반법,제627조,"일부멸실 등과 감액청구, 해지권",10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.206191
87944384-aac7-47db-91b5-c0b5aacd3d2e,임대물에 대한 공과부담의 증감 기타 경제사정의 변동으로 인하여 약정한 차임이 상당하지 아니하게 된 때에는 당사자는 장래에 대한 차임의 증감을 청구할 수 있다.,주택임대차,민법,일반법,제628조,차임증감청구권,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.207363
8b40be78-d0f1-4bfe-9979-deae654febf2,①임차인은 임대인의 동의없이 그 권리를 양도하거나 임차물을 전대하지 못한다. ②임차인이 전항의 규정에 위반한 때에는 임대인은 계약을 해지할 수 있다.,주택임대차,민법,일반법,제629조,"임차권의 양도, 전대의 제한",10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.209401
2dc5250a-c23f-498e-9d5a-007fe3fe6b78,①임차인이 임대인의 동의를 얻어 임차물을 전대한 때에는 전차인은 직접 임대인에 대하여 의무를 부담한다. 이 경우에 전차인은 전대인에 대한 차임의 지급으로써 임대인에게 대항하지 못한다. ②전항의 규정은 임대인의 임차인에 대한 권리행사에 영향을 미치지 아니한다.,주택임대차,민법,일반법,제630조,전대의 효과,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.210393
69b3b010-9e66-4a94-a46c-688100172082,임차인이 임대인의 동의를 얻어 임차물을 전대한 경우에는 임대인과 임차인의 합의로 계약을 종료한 때에도 전차인의 권리는 소멸하지 아니한다.,주택임대차,민법,일반법,제631조,전차인의 권리의 확정,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.211394
eaa047a0-9861-493f-8e22-917db84f9bbb,전3조의 규정은 건물의 임차인이 그 건물의 소부분을 타인에게 사용하게 하는 경우에 적용하지 아니한다.,주택임대차,민법,일반법,제632조,임차건물의 소부분을 타인에게 사용케 하는 경우,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.213366
bbd4eefd-a7ce-4b88-9986-6267e1edf70c,"차임은 동산, 건물이나 대지에 대하여는 매월말에, 기타 토지에 대하여는 매년말에 지급하여야 한다. 그러나 수확기있는 것에 대하여는 그 수확후 지체없이 지급하여야 한다.",주택임대차,민법,일반법,제633조,차임지급의 시기,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.216260
339ce469-eb0d-43da-b610-e791809bcce9,임차물의 수리를 요하거나 임차물에 대하여 권리를 주장하는 자가 있는 때에는 임차인은 지체없이 임대인에게 이를 통지하여야 한다. 그러나 임대인이 이미 이를 안 때에는 그러하지 아니하다.,주택임대차,민법,일반법,제634조,임차인의 통지의무,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.217894
d5298acc-412c-4367-9e7d-6d3cc6a8bd91,"①임대차기간의 약정이 없는 때에는 당사자는 언제든지 계약해지의 통고를 할 수 있다. ②상대방이 전항의 통고를 받은 날로부터 다음 각호의 기간이 경과하면 해지의 효력이 생긴다. 1. 토지, 건물 기타 공작물에 대하여는 임대인이 해지를 통고한 경우에는 6월, 임차인이 해지를 통고한 경우에는 1월 2. 동산에 대하여는 5일",주택임대차,민법,일반법,제635조,기간의 약정없는 임대차의 해지통고,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.220008
db019788-15cc-4de9-9929-7cb6bf007667,임대차기간의 약정이 있는 경우에도 당사자일방 또는 쌍방이 그 기간내에 해지할 권리를 보류한 때에는 전조의 규정을 준용한다.,주택임대차,민법,일반법,제636조,기간의 약정있는 임대차의 해지통고,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.221008
b3f75053-91b1-442e-b304-8be90117bba2,①임차인이 파산선고를 받은 경우에는 임대차기간의 약정이 있는 때에도 임대인 또는 파산관재인은 제635조의 규정에 의하여 계약해지의 통고를 할 수 있다. ②전항의 경우에 각 당사자는 상대방에 대하여 계약해지로 인하여 생긴 손해의 배상을 청구하지 못한다.,주택임대차,민법,일반법,제637조,임차인의 파산과 해지통고,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.223205
13ad4126-855d-43e5-912d-1c256280b0a7,①임대차계약이 해지의 통고로 인하여 종료된 경우에 그 임대물이 적법하게 전대되었을 때에는 임대인은 전차인에 대하여 그 사유를 통지하지 아니하면 해지로써 전차인에게 대항하지 못한다. ②전차인이 전항의 통지를 받은 때에는 제635조제2항의 규정을 준용한다.,주택임대차,민법,일반법,제638조,해지통고의 전차인에 대한 통지,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.226247
6ca0a2f1-a3eb-47c6-914b-ba1a7fe583a2,"①임대차기간이 만료한 후 임차인이 임차물의 사용, 수익을 계속하는 경우에 임대인이 상당한 기간내에 이의를 하지 아니한 때에는 전임대차와 동일한 조건으로 다시 임대차한 것으로 본다. 그러나 당사자는 제635조의 규정에 의하여 해지의 통고를 할 수 있다. ②전항의 경우에 전임대차에 대하여 제삼자가 제공한 담보는 기간의 만료로 인하여 소멸한다.",주택임대차,민법,일반법,제639조,묵시의 갱신,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.227247
d6fd4a35-60ca-4910-824f-9e92750fce73,건물 기타 공작물의 임대차에는 임차인의 차임연체액이 2기의 차임액에 달하는 때에는 임대인은 계약을 해지할 수 있다.,주택임대차,민법,일반법,제640조,차임연체와 해지,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.228249
41b04ae5-5e2f-49f6-b56f-475b9fa95da8,"건물 기타 공작물의 소유 또는 식목, 채염, 목축을 목적으로 한 토지임대차의 경우에도 전조의 규정을 준용한다.",주택임대차,민법,일반법,제641조,동전,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.230205
a0a0a9e2-5369-470c-8349-3818ed96b72e,전조의 경우에 그 지상에 있는 건물 기타 공작물이 담보물권의 목적이 된 때에는 제288조의 규정을 준용한다.,주택임대차,민법,일반법,제642조,토지임대차의 해지와 지상건물 등에 대한 담보물권자에의 통지,10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.232246
e81b6fcc-1635-432e-9f83-8a15d8034e09,"건물 기타 공작물의 소유 또는 식목, 채염, 목축을 목적으로 한 토지임대차의 기간이 만료한 경우에 건물, 수목 기타 지상시설이 현존한 때에는 제283조의 규정을 준용한다.",주택임대차,민법,일반법,제643조,"임차인의 갱신청구권, 매수청구권",10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.234240
b341c228-8edb-48df-bc2f-860868e16d2d,"①건물 기타 공작물의 소유 또는 식목, 채염, 목축을 목적으로 한 토지임차인이 적법하게 그 토지를 전대한 경우에 임대차 및 전대차의 기간이 동시에 만료되고 건물, 수목 기타 지상시설이 현존한 때에는 전차인은 임대인에 대하여 전전대차와 동일한 조건으로 임대할 것을 청구할 수 있다. ②전항의 경우에 임대인이 임대할 것을 원하지 아니하는 때에는 제283조제2항의 규정을 준용한다.",주택임대차,민법,일반법,제644조,"전차인의 임대청구권, 매수청구권",10,2026-01-02,민법(법률)(제20432호)(20260101)-간략.docx,2026-01-14T16:07:29.235240
